Location,BNMC,,,,
Address,"666 N Oak St, Buffalo NY 14203",,,,
Opt. tilt,32 deg,accurate to 0.25 deg,,,
Opt. azimuth,178.25 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 1, 12:00 am",0,0,-0.6,0,3.1
"Jan 1, 01:00 am",0,0,-0.6,0,4.1
"Jan 1, 02:00 am",0,0,-1.1,0,2.6
"Jan 1, 03:00 am",0,0,-1.1,0,0
"Jan 1, 04:00 am",0,0,-1.1,0,2.1
"Jan 1, 05:00 am",0,0,-0.6,0,0
"Jan 1, 06:00 am",0,0,-0.6,0,1.5
"Jan 1, 07:00 am",1.84805,2,-0.6,71.418,2.1
"Jan 1, 08:00 am",37.3946,35,-1.1,64.4416,2.1
"Jan 1, 09:00 am",90.4771,88,-0.6,52.6158,1.5
"Jan 1, 10:00 am",119.057,119,0,42.4873,2.6
"Jan 1, 11:00 am",159.115,157,0,35.644,3.6
"Jan 1, 12:00 pm",201.826,192,0,34.1469,2.6
"Jan 1, 01:00 pm",158.386,155,0.6,38.6262,2.6
"Jan 1, 02:00 pm",123.008,121,0.6,47.4097,2.1
"Jan 1, 03:00 pm",83.2132,79,0.6,58.5692,3.1
"Jan 1, 04:00 pm",25.6409,25,0.6,69.3111,3.1
"Jan 1, 05:00 pm",0,0,0,0,3.1
"Jan 1, 06:00 pm",0,0,-0.6,0,4.6
"Jan 1, 07:00 pm",0,0,-0.6,0,4.1
"Jan 1, 08:00 pm",0,0,-1.1,0,3.1
"Jan 1, 09:00 pm",0,0,-1.1,0,3.6
"Jan 1, 10:00 pm",0,0,-1.1,0,5.2
"Jan 1, 11:00 pm",0,0,-1.1,0,4.6
"Jan 2, 12:00 am",0,0,-1.7,0,3.1
"Jan 2, 01:00 am",0,0,-1.7,0,6.2
"Jan 2, 02:00 am",0,0,-1.7,0,4.6
"Jan 2, 03:00 am",0,0,-1.1,0,4.6
"Jan 2, 04:00 am",0,0,-0.6,0,4.6
"Jan 2, 05:00 am",0,0,-1.1,0,4.1
"Jan 2, 06:00 am",0,0,-1.1,0,4.6
"Jan 2, 07:00 am",1.84805,2,-1.1,71.4819,4.1
"Jan 2, 08:00 am",35.6572,35,-1.1,64.5042,3.6
"Jan 2, 09:00 am",90.4877,89,-0.6,52.6558,4.1
"Jan 2, 10:00 am",145.976,142,-0.6,42.4931,4.1
"Jan 2, 11:00 am",193.924,186,0,35.6007,3.6
"Jan 2, 12:00 pm",179.41,175,0,34.0511,3.6
"Jan 2, 01:00 pm",166.483,162,0,38.4988,4.1
"Jan 2, 02:00 pm",119.697,118,0,47.2731,3.1
"Jan 2, 03:00 pm",64.5541,65,0,58.4339,3.1
"Jan 2, 04:00 pm",21.2536,22,0,69.2742,3.6
"Jan 2, 05:00 pm",0,0,-0.6,0,3.6
"Jan 2, 06:00 pm",0,0,-0.6,0,3.1
"Jan 2, 07:00 pm",0,0,-1.1,0,4.1
"Jan 2, 08:00 pm",0,0,-1.7,0,2.6
"Jan 2, 09:00 pm",0,0,-1.7,0,4.1
"Jan 2, 10:00 pm",0,0,-2.2,0,3.6
"Jan 2, 11:00 pm",0,0,-2.2,0,3.6
"Jan 3, 12:00 am",0,0,-2.8,0,5.2
"Jan 3, 01:00 am",0,0,-2.8,0,2.6
"Jan 3, 02:00 am",0,0,-3.3,0,2.1
"Jan 3, 03:00 am",0,0,-3.3,0,4.6
"Jan 3, 04:00 am",0,0,-3.9,0,5.2
"Jan 3, 05:00 am",0,0,-4.4,0,4.6
"Jan 3, 06:00 am",0,0,-4.4,0,5.2
"Jan 3, 07:00 am",1.84805,2,-4.4,71.547,4.6
"Jan 3, 08:00 am",35.6324,35,-5,64.5628,2.6
"Jan 3, 09:00 am",98.8727,95,-5.6,52.6908,5.2
"Jan 3, 10:00 am",149.662,145,-5,42.4928,5.2
"Jan 3, 11:00 am",202.755,192,-5,35.5503,4.6
"Jan 3, 12:00 pm",205.609,196,-5,33.9483,5.2
"Jan 3, 01:00 pm",176.258,171,-5.6,38.3657,5.2
"Jan 3, 02:00 pm",203.801,147,-6.1,47.1322,4.6
"Jan 3, 03:00 pm",46.1157,48,-6.1,58.2958,4.1
"Jan 3, 04:00 pm",24.2699,24,-6.7,69.2388,4.1
"Jan 3, 05:00 pm",0,0,-7.2,0,4.1
"Jan 3, 06:00 pm",0,0,-7.2,0,4.1
"Jan 3, 07:00 pm",0,0,-7.8,0,2.6
"Jan 3, 08:00 pm",0,0,-7.8,0,2.6
"Jan 3, 09:00 pm",0,0,-8.9,0,2.1
"Jan 3, 10:00 pm",0,0,-8.3,0,2.6
"Jan 3, 11:00 pm",0,0,-8.3,0,2.6
"Jan 4, 12:00 am",0,0,-8.3,0,4.1
"Jan 4, 01:00 am",0,0,-8.3,0,2.1
"Jan 4, 02:00 am",0,0,-10,0,2.1
"Jan 4, 03:00 am",0,0,-10.6,0,2.6
"Jan 4, 04:00 am",0,0,-12.2,0,2.6
"Jan 4, 05:00 am",0,0,-12.2,0,2.1
"Jan 4, 06:00 am",0,0,-12.8,0,3.1
"Jan 4, 07:00 am",5.02463,3,-13.3,71.6132,3.1
"Jan 4, 08:00 am",139.263,55,-12.2,64.6173,3.1
"Jan 4, 09:00 am",362.019,159,-8.9,52.7208,4.1
"Jan 4, 10:00 am",611.229,291,-6.7,42.4863,5.2
"Jan 4, 11:00 am",663.261,349,-5.6,35.4928,7.2
"Jan 4, 12:00 pm",664.86,361,-6.1,33.8384,5.7
"Jan 4, 01:00 pm",527.593,294,-5,38.2268,7.7
"Jan 4, 02:00 pm",378.616,205,-5.6,46.9873,7.7
"Jan 4, 03:00 pm",137.04,88,-6.1,58.1552,6.7
"Jan 4, 04:00 pm",27.2553,23,-6.7,69.2051,7.2
"Jan 4, 05:00 pm",0,0,-6.7,0,7.7
"Jan 4, 06:00 pm",0,0,-7.2,0,6.2
"Jan 4, 07:00 pm",0,0,-7.2,0,7.2
"Jan 4, 08:00 pm",0,0,-7.2,0,7.7
"Jan 4, 09:00 pm",0,0,-7.2,0,6.2
"Jan 4, 10:00 pm",0,0,-6.7,0,6.2
"Jan 4, 11:00 pm",0,0,-6.7,0,5.2
"Jan 5, 12:00 am",0,0,-6.7,0,5.2
"Jan 5, 01:00 am",0,0,-6.1,0,5.2
"Jan 5, 02:00 am",0,0,-6.1,0,6.2
"Jan 5, 03:00 am",0,0,-6.7,0,6.2
"Jan 5, 04:00 am",0,0,-6.7,0,5.2
"Jan 5, 05:00 am",0,0,-7.2,0,4.6
"Jan 5, 06:00 am",0,0,-7.2,0,4.1
"Jan 5, 07:00 am",6.21063,5,-6.7,71.6805,4.1
"Jan 5, 08:00 am",55.7126,46,-6.7,64.6677,4.6
"Jan 5, 09:00 am",226.305,142,-5.6,52.7456,4.6
"Jan 5, 10:00 am",465.642,242,-3.9,42.4737,5.2
"Jan 5, 11:00 am",655.522,343,-2.8,35.4283,8.2
"Jan 5, 12:00 pm",698.814,366,-2.2,33.7215,8.2
"Jan 5, 01:00 pm",659.51,337,-2.8,38.0822,7.7
