Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Number of counted days,Total no. of days in month
Jan,-4.08,-4.113333333333333,-4.263333333333334,-4.446666666666667,-4.796666666666667,-5.0600000000000005,-5.056666666666667,-5.016666666666667,-4.739999999999999,-4.029999999999999,-3.153333333333333,-2.546666666666667,-2.296666666666667,-2.1899999999999995,-2.1133333333333333,-2.3266666666666667,-2.686666666666667,-3.273333333333333,-3.5400000000000005,-3.8833333333333337,-3.93,-4.07,-3.8866666666666676,-3.786666666666667,30,31
Feb,-4.614814814814816,-4.707407407407406,-5.07037037037037,-5.207407407407408,-5.240740740740741,-5.344444444444445,-5.511111111111114,-5.2666666666666675,-4.525925925925926,-3.9629629629629637,-3.259259259259259,-2.7703703703703697,-2.318518518518518,-2.2037037037037037,-1.9740740740740736,-2.0999999999999996,-2.47037037037037,-2.807407407407407,-3.3259259259259264,-3.537037037037037,-3.7999999999999994,-4.014814814814816,-4.207407407407407,-4.451851851851852,27,28
Mar,0.6310344827586206,0.35862068965517224,-0.04827586206896547,-0.3862068965517241,-0.6551724137931034,-0.8896551724137932,-0.7448275862068966,-0.11379310344827552,0.8448275862068967,1.858620689655173,2.658620689655172,3.317241379310346,4.0103448275862075,4.310344827586207,4.2172413793103445,4.003448275862069,3.2655172413793108,2.8689655172413793,2.0172413793103443,1.7620689655172412,1.5620689655172413,1.1517241379310348,0.9724137931034483,0.820689655172414,29,31
Apr,5.627586206896552,5.275862068965518,5.079310344827587,4.775862068965518,4.6931034482758625,4.482758620689657,5.13448275862069,6.5344827586206895,7.775862068965516,8.99655172413793,10.04137931034483,10.644827586206896,11.282758620689656,11.60689655172414,11.32758620689655,11.120689655172411,10.575862068965515,9.541379310344826,8.375862068965516,7.582758620689658,7.027586206896553,6.662068965517242,6.382758620689656,6.089655172413795,29,30
May,11.248387096774193,10.77741935483871,10.196774193548386,10.135483870967741,10.087096774193547,10.425806451612903,11.635483870967743,12.996774193548388,14.43548387096774,15.435483870967746,16.151612903225807,16.577419354838714,17.116129032258065,17.43870967741935,17.54516129032258,17.40322580645161,16.39032258064516,15.529032258064516,14.877419354838711,13.693548387096776,13.035483870967747,12.554838709677423,12.106451612903227,11.893548387096775,31,31
Jun,15.864285714285717,15.514285714285716,15.064285714285715,14.646428571428572,14.446428571428575,14.86071428571429,16.210714285714285,17.675,18.910714285714285,19.87857142857143,20.682142857142857,21.428571428571434,22.039285714285715,22.400000000000002,22.696428571428566,22.817857142857143,22.289285714285715,21.72857142857143,20.71071428571429,19.507142857142856,18.553571428571427,17.66785714285714,17.053571428571423,16.557142857142857,28,30
Jul,19.203225806451613,19.212903225806453,18.67741935483871,18.229032258064514,18.029032258064515,18.36129032258065,19.44193548387097,20.91935483870968,22.170967741935485,23.245161290322578,24.15483870967742,24.632258064516133,25.287096774193554,26.061290322580653,26.04516129032258,25.89032258064516,25.10645161290323,24.929032258064517,24.067741935483873,22.50645161290323,21.619354838709683,20.919354838709676,20.258064516129032,19.767741935483873,31,31
Aug,18.03333333333334,17.333333333333332,17.06,16.780000000000005,16.450000000000003,16.40666666666666,17.63,19.506666666666664,21.28666666666667,22.683333333333334,23.556666666666665,24.55666666666666,25.109999999999996,25.42333333333333,25.57,24.893333333333327,24.480000000000004,23.536666666666672,22.560000000000006,21.283333333333335,20.576666666666664,19.689999999999994,18.939999999999998,18.353333333333335,30,31
Sep,13.996551724137932,13.765517241379312,13.279310344827588,12.955172413793106,12.737931034482761,12.486206896551723,13.12413793103448,14.779310344827588,16.503448275862073,18.03103448275862,18.900000000000002,19.706896551724135,20.02758620689655,19.989655172413794,19.889655172413793,19.803448275862067,19.217241379310348,18.255172413793108,17.227586206896554,16.50689655172414,15.824137931034484,15.189655172413797,14.568965517241377,14.220689655172414,29,30
Oct,8.072413793103449,7.710344827586207,7.4448275862068956,7.041379310344828,6.862068965517241,6.834482758620689,6.934482758620691,7.817241379310344,9.13793103448276,10.206896551724135,11.037931034482757,11.244827586206894,11.682758620689652,12.106896551724136,12.203448275862065,11.993103448275862,11.33448275862069,10.555172413793102,9.765517241379312,9.03448275862069,8.544827586206898,8.124137931034484,7.924137931034483,7.720689655172416,29,31
Nov,4.310714285714288,4.2321428571428585,4.142857142857143,4.128571428571428,4.228571428571429,4.389285714285713,4.549999999999999,4.685714285714285,5.153571428571427,5.610714285714285,6.625000000000001,7.142857142857143,7.325000000000002,7.425,7.464285714285716,7.250000000000001,6.510714285714286,5.9607142857142845,5.5,5.239285714285714,4.917857142857142,4.728571428571428,4.778571428571429,4.775000000000001,28,30
Dec,-2.7499999999999996,-2.81,-2.7933333333333334,-2.8833333333333333,-3.136666666666667,-3.193333333333333,-3.3066666666666658,-3.1366666666666663,-3.0166666666666657,-2.6466666666666656,-2.1633333333333336,-1.9800000000000002,-1.6200000000000003,-1.366666666666667,-1.3366666666666662,-1.4899999999999998,-1.796666666666667,-2.2600000000000007,-2.533333333333334,-2.770000000000001,-2.8833333333333333,-2.9999999999999996,-3.2466666666666657,-3.1999999999999997,30,31
