Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,-0.6,-0.6,-1.1,-1.1,-1.1,-0.6,-0.6,-0.6,-1.1,-0.6,0,0,0,0.6,0.6,0.6,0.6,0,-0.6,-0.6,-1.1,-1.1,-1.1,-1.1
Jan 2,-1.7,-1.7,-1.7,-1.1,-0.6,-1.1,-1.1,-1.1,-1.1,-0.6,-0.6,0,0,0,0,0,0,-0.6,-0.6,-1.1,-1.7,-1.7,-2.2,-2.2
Jan 3,-2.8,-2.8,-3.3,-3.3,-3.9,-4.4,-4.4,-4.4,-5,-5.6,-5,-5,-5,-5.6,-6.1,-6.1,-6.7,-7.2,-7.2,-7.8,-7.8,-8.9,-8.3,-8.3
Jan 4,-8.3,-8.3,-10,-10.6,-12.2,-12.2,-12.8,-13.3,-12.2,-8.9,-6.7,-5.6,-6.1,-5,-5.6,-6.1,-6.7,-6.7,-7.2,-7.2,-7.2,-7.2,-6.7,-6.7
Jan 5,-6.7,-6.1,-6.1,-6.7,-6.7,-7.2,-7.2,-6.7,-6.7,-5.6,-3.9,-2.8,-2.2,-2.8,-2.8,-3.9,-5,-6.1,-7.2,-7.8,-6.7,-8.3,-8.9,-10
Jan 6,-10,-10.6,-10.6,-11.1,-11.7,-11.7,-12.2,-13.3,-10.6,-7.2,-5.6,-3.9,-3.3,-2.8,-2.2,-2.2,-3.3,-3.9,-3.9,-3.3,-1.7,-1.7,-0.6,0.6
Jan 7,1.1,1.7,2.8,2.2,0,0,1.7,2.2,2.2,0.6,0,-1.1,-1.1,-0.6,-1.7,-1.7,-2.8,-2.2,-1.7,-3.3,-4.4,-5,-5,-5
Jan 8,-5.6,-5.6,-5.6,-6.1,-6.1,-6.7,-6.7,-7.2,-7.2,-7.2,-6.1,-5.6,-4.4,-4.4,-5,-4.4,-3.9,-4.4,-5.6,-5.6,-6.1,-6.1,-6.7,-7.2
Jan 9,-7.8,-8.3,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-8.9,-8.3,-6.7,-6.1,-5,-5,-5,-5,-5.6,-6.7,-7.2,-8.3,-9.4,-9.4,-10,-10.6
Jan 10,-11.1,-11.7,-11.1,-12.2,-13.3,-13.3,-11.7,-10,-9.4,-6.7,-3.9,-2.8,-1.1,-1.7,-0.6,-0.6,-0.6,-1.7,-1.7,0,1.1,1.1,1.1,3.9
Jan 11,3.9,5,4.4,4.4,5,5.6,6.1,5.6,6.7,7.8,8.9,9.4,9.4,10,10.6,11.7,11.1,11.1,6.1,3.3,2.2,1.1,0,-1.1
Jan 12,-2.8,-3.9,-5.6,-6.7,-7.2,-7.2,-8.3,-9.4,-11.1,-10,-8.9,-7.8,-7.2,-6.1,-5.6,-6.1,-6.7,-7.8,-7.8,-7.8,-7.8,-8.3,-7.8,-8.3
Jan 13,-8.3,-8.3,-8.3,-7.8,-7.8,-7.8,-7.8,-7.8,-6.7,-5.6,-2.8,-0.6,-0.6,2.2,2.8,2.8,2.8,2.2,2.2,1.7,2.2,2.8,2.8,3.9
Jan 14,3.9,3.3,4.4,4.4,3.3,3.3,3.3,3.3,3.9,3.9,4.4,4.4,4.4,3.9,3.9,3.3,3.3,2.8,2.2,2.2,2.2,1.7,1.7,1.7
Jan 15,1.7,1.7,1.7,1.7,1.1,0.6,0.6,1.1,0.6,2.2,2.8,4.4,4.4,5,5.6,5,3.9,1.1,0,0,-0.6,0,0,-0.6
