Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,0,0,0,0,0,0,0,2,35,88,119,157,192,155,121,79,25,0,0,0,0,0,0,0
Jan 2,0,0,0,0,0,0,0,2,35,89,142,186,175,162,118,65,22,0,0,0,0,0,0,0
Jan 3,0,0,0,0,0,0,0,2,35,95,145,192,196,171,147,48,24,0,0,0,0,0,0,0
Jan 4,0,0,0,0,0,0,0,3,55,159,291,349,361,294,205,88,23,0,0,0,0,0,0,0
Jan 5,0,0,0,0,0,0,0,5,46,142,242,343,366,337,206,125,33,0,0,0,0,0,0,0
Jan 6,0,0,0,0,0,0,0,4,60,183,294,344,372,351,250,138,7,0,0,0,0,0,0,0
Jan 7,0,0,0,0,0,0,0,0,27,95,292,259,216,169,139,86,18,0,0,0,0,0,0,0
Jan 8,0,0,0,0,0,0,0,4,40,197,284,379,291,334,121,80,26,0,0,0,0,0,0,0
Jan 9,0,0,0,0,0,0,0,1,53,110,158,215,176,228,215,101,16,0,0,0,0,0,0,0
Jan 10,0,0,0,0,0,0,0,6,67,204,289,334,356,363,258,134,27,0,0,0,0,0,0,0
Jan 11,0,0,0,0,0,0,0,1,22,51,87,101,103,100,93,98,33,0,0,0,0,0,0,0
Jan 12,0,0,0,0,0,0,0,6,58,190,323,385,412,405,295,182,47,0,0,0,0,0,0,0
Jan 13,0,0,0,0,0,0,0,5,38,149,203,214,279,192,229,139,29,0,0,0,0,0,0,0
Jan 14,0,0,0,0,0,0,0,0,31,101,117,181,152,148,150,76,15,0,0,0,0,0,0,0
Jan 15,0,0,0,0,0,0,0,3,41,168,267,390,394,372,291,169,42,0,0,0,0,0,0,0
Jan 16,0,0,0,0,0,0,0,9,60,136,238,240,296,242,230,52,31,0,0,0,0,0,0,0
Jan 17,0,0,0,0,0,0,0,4,36,116,139,170,111,105,86,59,35,4,0,0,0,0,0,0
