Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,0,0,0,0,0,0,0,1.84805,37.3946,90.4771,119.057,159.115,201.826,158.386,123.008,83.2132,25.6409,0,0,0,0,0,0,0
Jan 2,0,0,0,0,0,0,0,1.84805,35.6572,90.4877,145.976,193.924,179.41,166.483,119.697,64.5541,21.2536,0,0,0,0,0,0,0
Jan 3,0,0,0,0,0,0,0,1.84805,35.6324,98.8727,149.662,202.755,205.609,176.258,203.801,46.1157,24.2699,0,0,0,0,0,0,0
Jan 4,0,0,0,0,0,0,0,5.02463,139.263,362.019,611.229,663.261,664.86,527.593,378.616,137.04,27.2553,0,0,0,0,0,0,0
Jan 5,0,0,0,0,0,0,0,6.21063,55.7126,226.305,465.642,655.522,698.814,659.51,345.22,202.294,81.8341,0,0,0,0,0,0,0
Jan 6,0,0,0,0,0,0,0,5.59072,135.572,425.78,611.19,628.298,689.919,679.39,499.765,317.504,6.96193,0,0,0,0,0,0,0
Jan 7,0,0,0,0,0,0,0,0,25.8606,117.819,589.477,340.519,235.656,173.772,147.811,93.9255,16.1323,0,0,0,0,0,0,0
Jan 8,0,0,0,0,0,0,0,3.6961,43.3141,453.757,566.962,740.492,419.07,602.785,121.746,83.0098,27.4498,0,0,0,0,0,0,0
Jan 9,0,0,0,0,0,0,0,0.924024,64.964,116.753,165.828,267.215,180.499,289.708,391.653,113.671,13.785,0,0,0,0,0,0,0
Jan 10,0,0,0,0,0,0,0,6.77955,188.035,465.19,556.483,525.611,571.932,642.415,469.079,210.501,31.7915,0,0,0,0,0,0,0
Jan 11,0,0,0,0,0,0,0,0.924024,19.7096,48.856,82.0926,95.0652,96.1559,94.3933,87.5647,105.833,36.0581,0,0,0,0,0,0,0
Jan 12,0,0,0,0,0,0,0,10.1175,140.944,427.99,663.181,756.47,788.071,792.067,607.925,435.434,154.303,0,0,0,0,0,0,0
Jan 13,0,0,0,0,0,0,0,7.05871,47.1618,271.545,283.108,291.435,393.853,239.352,388.7,198.434,36.0495,0,0,0,0,0,0,0
Jan 14,0,0,0,0,0,0,0,0,35.5684,104.514,115.558,187.108,149.182,146.945,155.606,74.6274,13.422,0,0,0,0,0,0,0
Jan 15,0,0,0,0,0,0,0,2.77207,68.8783,332.194,491.823,703.578,733.869,712.492,585.154,389.225,115.316,0,0,0,0,0,0,0
Jan 16,0,0,0,0,0,0,0,12.4894,119.403,240.541,317.014,344.794,450.14,336.025,356.213,51.0861,39.0341,0,0,0,0,0,0,0
Jan 17,0,0,0,0,0,0,0,3.37165,36.3161,124.776,140.254,171.232,103.873,99.723,79.6428,54.4535,44.2007,2.86771,0,0,0,0,0,0
Jan 18,0,0,0,0,0,0,0,0.924024,36.6814,142.507,150.926,170.092,219.555,118.446,86.9588,60.3259,44.3734,0.924024,0,0,0,0,0,0
Jan 19,0,0,0,0,0,0,0,3.6961,45.5444,60.0601,190.207,228.316,239.753,212.584,174.288,106.941,28.8032,0,0,0,0,0,0,0
Jan 20,0,0,0,0,0,0,0,14.09,91.6331,157.298,205.492,205.822,280.748,240.451,275.167,101.536,111.923,4.38628,0,0,0,0,0,0
Jan 21,0,0,0,0,0,0,0,4.24526,104.5,385.252,576.553,593.408,615.379,201.539,199.025,246.046,29.6154,1.17741,0,0,0,0,0,0
Jan 22,0,0,0,0,0,0,0,5.83748,51.2208,103.719,133.095,252.18,207.29,180.627,156.401,116.19,49.7629,3.6961,0,0,0,0,0,0
Jan 23,0,0,0,0,0,0,0,4.62012,113.059,338.923,325.336,270.62,167.701,172.58,115.896,165,29.2334,0.25242,0,0,0,0,0,0
Jan 24,0,0,0,0,0,0,0,20.7143,119.619,457.866,631.918,558.449,566.621,491.647,370.123,135.976,145.801,9.32095,0,0,0,0,0,0
Jan 25,0,0,0,0,0,0,0,3.6961,76.1668,97.8571,150.138,202.131,235.661,225.981,172.409,115.445,59.103,4.62012,0,0,0,0,0,0
Jan 26,0,0,0,0,0,0,0,6.46817,57.0534,117.72,243.811,360.422,99.2681,162.692,157.59,114.779,38.4197,4.62012,0,0,0,0,0,0
Jan 27,0,0,0,0,0,0,0,8.31622,59.7596,241.033,388.796,529.886,434.145,157.059,199.496,138.316,85.9714,9.99035,0,0,0,0,0,0
Jan 28,0,0,0,0,0,0,0,5.82968,180.258,422.44,615.608,564.916,298.476,240.153,181.689,136.306,31.9132,6.1162,0,0,0,0,0,0
Jan 29,0,0,0,0,0,0,0,4.83303,77.5656,81.9838,405.227,522.744,451.144,108.13,217.02,86.4128,39.029,3.26931,0,0,0,0,0,0
Jan 30,0,0,0,0,0,0,0,8.59915,71.7106,404.617,625.592,806.367,886.891,480.728,521.49,303.769,94.9797,14.1972,0,0,0,0,0,0
Jan 31,0,0,0,0,0,0,0,10.1643,61.1248,290.655,467.296,227.081,252.616,438.54,286.745,197.859,70.6265,6.46817,0,0,0,0,0,0
Feb 1,0,0,0,0,0,0,0,1.84805,23.2571,56.1372,117.175,118.95,114.947,213.221,199.355,66.1671,25.4897,4.62012,0,0,0,0,0,0
Feb 2,0,0,0,0,0,0,0,10.1643,76.4463,137.758,219.145,270.233,260.116,261.422,211.446,147.969,70.4054,10.1643,0,0,0,0,0,0
Feb 3,0,0,0,0,0,0,0,10.1643,63.0078,244.098,379.057,231.103,523.446,156.052,189.024,129.278,38.115,6.71245,0,0,0,0,0,0
Feb 4,0,0,0,0,0,0,0,17.5415,80.4373,183.278,434.501,373.069,229.304,390.275,447.042,335.974,185.709,17.6057,0,0,0,0,0,0
Feb 5,0,0,0,0,0,0,0,31.8059,196.581,389.266,515.347,400.545,445.852,399.235,323.456,176.954,88.8195,25.1973,0,0,0,0,0,0
Feb 6,0,0,0,0,0,0,0,11.2923,42.1546,101.599,229.611,211.55,232.403,236.578,634.94,453.799,179.264,31.2073,0,0,0,0,0,0
Feb 7,0,0,0,0,0,0,0,34.9132,210.839,378.575,349.169,438.519,792.222,828.114,500.953,165.295,44.6131,7.38832,0,0,0,0,0,0
Feb 8,0,0,0,0,0,0,0,69.4978,349.092,623.231,835.107,898.748,1005.75,777.929,571.005,303.871,123.456,9.42179,0,0,0,0,0,0
Feb 9,0,0,0,0,0,0,0,21.9633,96.3104,185.821,271.333,311.519,374.316,394.719,275.731,245.148,135.827,21.3668,0,0,0,0,0,0
Feb 10,0,0,0,0,0,0,0,55.0187,285.311,546.427,692.99,870.285,620.416,549.95,543.813,111.214,78.0199,56.6472,0,0,0,0,0,0
Feb 11,0,0,0,0,0,0,0,20.0283,107.357,240.299,746.733,524.361,295.401,533.452,127.133,221.826,121.983,22.2811,0,0,0,0,0,0
Feb 12,0,0,0,0,0,0,0,14.6065,88.313,153.634,246.173,289.784,337.727,339.355,280.528,194.02,97.2676,6.15392,0,0,0,0,0,0
Feb 13,0,0,0,0,0,0,0,8.30703,52.2315,127.534,328.85,467.525,413.147,614.225,556.801,195.173,58.444,11.6346,0,0,0,0,0,0
Feb 14,0,0,0,0,0,0,0,16.6702,210.926,556.426,687.419,680.461,866.847,797.858,351.715,482.805,230.691,47.1731,0,0,0,0,0,0
Feb 15,0,0,0,0,0,0,0,14.9072,66.5565,118.361,129.395,150.046,277.892,268.134,221.858,166.748,104.622,21.7053,0,0,0,0,0,0
Feb 16,0,0,0,0,0,0,0,22.9407,119.265,482.332,696.87,827.371,335.906,266.712,228.616,156.902,67.4176,20.8367,0,0,0,0,0,0
Feb 17,0,0,0,0,0,0,0,15.754,117.466,172.383,787.167,846.94,228.787,248.562,240.869,143.026,145.989,26.8779,0,0,0,0,0,0
Feb 18,0,0,0,0,0,0,0,17.0332,70.5125,125.735,193.887,627.987,861.849,814.007,738.357,521.386,267.514,43.7248,0,0,0,0,0,0
Feb 19,0,0,0,0,0,0,0,32.1482,163.874,277.544,242.073,225.352,143.335,159.473,191.661,73.4948,43.0527,13.4269,0,0,0,0,0,0
Feb 20,0,0,0,0,0,0,0,20.2749,95.2317,196.013,239.967,387.2,266.49,354.347,386.64,360.999,171.744,16.5746,0,0,0,0,0,0
Feb 21,0,0,0,0,0,0,0,69.6642,156.61,435.908,593.048,316.683,483.841,450.084,295.281,171.814,204.584,48.0671,0,0,0,0,0,0
Feb 22,0,0,0,0,0,0,0,19.0846,103.734,443.727,509.358,566.393,706.053,625.139,660.741,424.885,174.509,36.7167,0,0,0,0,0,0
Feb 23,0,0,0,0,0,0,0,24.4945,41.8934,103.733,214.06,422.208,278.198,242.422,203.257,227.853,56.7384,20.172,0,0,0,0,0,0
Feb 24,0,0,0,0,0,0,0,107.866,141.83,459.976,257.937,335.692,688.618,245.117,540.479,481.533,274.114,39.079,0,0,0,0,0,0
Feb 25,0,0,0,0,0,0,0,51.4412,164.056,451.464,433.834,489.293,244.055,283.941,230.786,177.354,230.71,45.1862,0,0,0,0,0,0
Feb 26,0,0,0,0,0,0,0,93.6848,217.334,195.312,252.798,277.264,271.247,290.632,219.198,208.264,103.781,33.265,0,0,0,0,0,0
Feb 27,0,0,0,0,0,0,0,39.3197,141.769,227.431,314.28,349.613,351.96,318.702,289.279,218.084,118.567,32.3568,0,0,0,0,0,0
Feb 28,0,0,0,0,0,0,1.31192,137.565,414.314,672.924,861.242,982.856,1018.48,968.752,832.808,624.814,363.513,74.2,0,0,0,0,0,0
Mar 1,0,0,0,0,0,0,3.49582,148.179,422.01,678.67,874.434,987.132,1028.07,991.185,852.739,642.822,350.267,101.725,0,0,0,0,0,0
Mar 2,0,0,0,0,0,0,1.04914,90.3826,323.65,578.194,678.779,911.001,964.849,917.63,786.007,573.531,289.865,74.1505,0,0,0,0,0,0
Mar 3,0,0,0,0,0,0,4.00713,39.5827,231.59,468.138,769.542,741.416,843.127,761.476,433.044,288.2,219.934,43.6773,2.08853,0,0,0,0,0
Mar 4,0,0,0,0,0,0,0.487721,43.9911,264.354,456.609,332.771,578.69,591.969,633.305,550.382,336.593,155.387,23.7312,0,0,0,0,0,0
Mar 5,0,0,0,0,0,0,2.93149,135.879,401.768,658.598,818.284,913.731,906.935,861.941,694.888,398.095,263.433,63.9509,0,0,0,0,0,0
Mar 6,0,0,0,0,0,0,4.93845,153.267,429.219,674.528,845.776,988.577,930.396,960.762,838.099,631.845,380.497,117.39,2.79144,0,0,0,0,0
Mar 7,0,0,0,0,0,0,6.74759,161.036,432.927,683.437,872.387,990.105,1023.47,971.498,836.221,626.206,375.625,115.599,2.61832,0,0,0,0,0
Mar 8,0,0,0,0,0,0,6.59028,152.167,383.005,591.668,804.113,911.14,870.777,891.04,717.437,569.048,345.103,105.016,1.19392,0,0,0,0,0
Mar 9,0,0,0,0,0,0,1.96249,24.3922,117.518,123.68,256.98,250.472,167.847,153.926,166.323,127.068,133.138,25.3147,1.84805,0,0,0,0,0
Mar 10,0,0,0,0,0,0,4.62012,27.7905,73.4039,113.065,292.978,284.32,336.792,512.748,211.064,160.123,105.721,26.2143,2.77207,0,0,0,0,0
Mar 11,0,0,0,0,0,0,4.62012,29.8721,75.8392,114.221,287.923,311.003,321.929,332.685,160.351,129.781,80.303,30.8697,2.77207,0,0,0,0,0
Mar 12,0,0,0,0,0,0,9.24024,33.1978,127.062,220.551,266.829,183.696,790.418,334.945,724.062,425.844,212.726,94.7963,4.79176,0,0,0,0,0
Mar 13,0,0,0,0,0,0,10.1643,50.9636,108.552,174.307,222.218,294.812,288.458,343.093,286.267,203.56,126.676,49.4028,5.54414,0,0,0,0,0
Mar 14,0,0,0,0,0,0,14.3463,141.687,248.87,525.507,742.73,886.056,820.396,755.044,378.08,194.99,83.3863,88.8,7.73033,0,0,0,0,0
Mar 15,0,0,0,0,0,0,8.15188,79.9988,326.375,459.867,314.527,555.861,724.009,855.133,440.857,213.077,194.298,74.0446,6.46817,0,0,0,0,0
Mar 16,0,0,0,0,0,0,20.6137,66.2789,230.407,248.787,142.173,229.333,364.008,261.216,128.396,195.339,136.665,53.0208,8.31622,0,0,0,0,0
Mar 17,0,0,0,0,0,0,8.94101,44.6481,96.2549,134.01,632.671,243.867,214.738,262.515,142.743,208.469,205.766,89.7094,9.07493,0,0,0,0,0
Mar 18,0,0,0,0,0,0,11.9465,74.7181,138.125,180.617,249.382,276.554,386.997,918.929,562.009,308.983,353.35,100.077,9.02492,0,0,0,0,0
Mar 19,0,0,0,0,0,0,6.05925,72.9799,66.879,111.633,140.026,173.884,183.655,170.905,161.192,144.229,80.5762,65.3753,9.24024,0,0,0,0,0
Mar 20,0,0,0,0,0,0,15.2394,78.1798,159.186,238.318,319.736,364.839,354.091,325.612,315.134,230.182,141.956,56.2584,11.0883,0,0,0,0,0
Mar 21,0,0,0,0,0,0,32.8895,231.939,497.061,733.297,915.141,1023.12,1051.78,988.322,853.38,654.195,403.141,148.256,11.0032,0,0,0,0,0
Mar 22,0,0,0,0,0,0,14.3321,178.367,370.395,282.315,842.343,759.779,483.142,268.981,190.087,213.301,110.841,54.799,7.18077,0,0,0,0,0
Mar 23,0,0,0,0,0,0,15.2314,67.094,170.032,242.947,350.633,966.79,649.644,292.488,411.552,439.823,254.443,81.9237,12.0366,0,0,0,0,0
Mar 24,0,0,0,0,0,0,25.1039,118.308,166.534,250.14,350.409,863.499,626.9,283.924,586.797,557.204,308.563,118.179,11.2811,0,0,0,0,0
Mar 25,0,0,0,0,0,0,31.6515,194.607,459.224,676.808,889.321,995.252,1071.36,1013.49,861.501,662.227,411.688,155.576,12.4135,0,0,0,0,0
Mar 26,0,0,0,0,0,0,31.1032,55.4882,243.516,362.229,569.114,1016.07,1019.08,980.878,874.523,606.332,414.997,138.427,12.3542,0,0,0,0,0
Mar 27,0,0,0,0,0,0,31.8383,183.467,445.513,314.469,601.118,401.213,459.648,205.278,253.924,571.77,211.516,152.209,12.3447,0,0,0,0,0
Mar 28,0,0,0,0,0,0,27.3735,194.506,451.435,602.878,810.147,814.299,963.946,951.645,799.401,559.763,373.506,143.427,14.7999,0,0,0,0,0
Mar 29,0,0,0,0,0,0,37.6666,205.361,424.482,624.783,813.605,845.841,878.753,412.171,413.937,180.226,155.07,63.1974,5.35426,0,0,0,0,0
Mar 30,0,0,0,0,0,0,13.595,48.9082,90.9397,141.485,183.661,220.138,232.911,198.257,329.014,147.425,90.3774,43.3463,8.93916,0,0,0,0,0
Mar 31,0,0,0,0,0,0,14.3168,55.2599,198.775,266.664,184.772,342.256,390.202,345.12,303.113,251.547,140.682,64.2481,16.0797,0,0,0,0,0
Apr 1,0,0,0,0,0,0,39.4398,224.974,421.942,702.142,850.167,867.896,567.248,174.609,235.125,165.475,158.304,68.9535,15.2442,0,0,0,0,0
Apr 2,0,0,0,0,0,0,20.7888,101.399,98.9286,257.722,329.987,376.943,377.468,909.857,861.275,606.838,405.471,154.319,15.1579,0,0,0,0,0
Apr 3,0,0,0,0,0,0,49.5654,270.686,546.922,713.371,807.734,460.238,526.261,901.233,735.513,444.186,210.355,80.8237,20.8868,0,0,0,0,0
Apr 4,0,0,0,0,0,0,24.3066,151.014,181.985,211.896,338.104,235.258,183.407,168.707,170.151,158.147,102.303,76.019,17.0161,0,0,0,0,0
Apr 5,0,0,0,0,0,0.924024,55.8679,284.78,545.427,780.996,949.051,1046.65,1067,1002.78,866.627,632.183,192.109,149.427,21.0651,0,0,0,0,0
Apr 6,0,0,0,0,0,0,44.5251,249.404,487.072,722.186,842.237,964.391,866.481,745.97,674.295,504.832,261.789,136.652,18.0807,0,0,0,0,0
Apr 7,0,0,0,0,0,1.84805,61.2661,193.173,358.953,479.39,613.711,701.91,663.402,648.678,555.387,200.189,117.526,38.9357,13.4284,0,0,0,0,0
Apr 8,0,0,0,0,0,0.924024,59.5352,275.784,512.559,482.756,621.406,553.285,544.71,726.473,467.746,189.549,183.804,53.4143,17.9356,0,0,0,0,0
Apr 9,0,0,0,0,0,2.77207,57.8414,138.593,208.063,533.628,520.566,415.717,784.071,510.646,693.605,386.008,286.262,129.514,25.363,0,0,0,0,0
Apr 10,0,0,0,0,0,2.77207,19.7975,111.698,195.638,221.285,199.34,208.269,197.523,193.352,187.356,154.715,114.097,56.7744,13.4244,0,0,0,0,0
Apr 11,0,0,0,0,0,5.54414,49.7656,116.537,212.016,290.765,346.175,976.763,959.528,944.66,856.669,656.81,413.325,148.367,21.3013,0,0,0,0,0
Apr 12,0,0,0,0,0,0.924024,24.5168,52.4484,116.18,246.188,224.16,217.766,218.562,188.422,192.952,143.197,94.4962,105.287,11.6262,0,0,0,0,0
Apr 13,0,0,0,0,0,4.62012,82.1531,307.417,520.707,638.223,884.462,957.66,791.777,654.621,529.319,482.296,296.45,134.393,23.5959,0,0,0,0,0
Apr 14,0,0,0,0,0,2.77207,26.0991,59.6862,104.678,297.471,182.35,401.983,201.036,323.734,198.663,145.908,134.359,63.8704,18.8319,0,0,0,0,0
Apr 15,0,0,0,0,0,7.39219,28.7582,187.552,194.094,207.636,367.636,290.13,340.029,330.414,341.626,132.962,94.8527,58.5218,13.4203,0,0,0,0,0
Apr 16,0,0,0,0,0,9.24024,67.8112,120.779,174.191,461.963,487.547,462.939,651.805,847.29,585.255,437.01,320.318,162.405,22.863,0,0,0,0,0
Apr 17,0,0,0,0,0,8.47288,88.6458,290.956,518.599,812.804,965.86,1067.69,1080.69,1015.65,814.143,413.843,341.957,156.933,21.3217,0,0,0,0,0
Apr 18,0,0,0,0,0,4.46077,51.4594,136.949,333.133,222.415,232.026,462.464,357.75,724.75,758.342,624.766,381.564,167.036,22.5704,0,0,0,0,0
Apr 19,0,0,0,0,0,8.60021,95.6464,305.772,556.729,784.605,968.115,1050.12,1062.63,1009.74,866.386,595.921,405.187,150.06,21.0618,0,0,0,0,0
Apr 20,0,0,0,0,0,11.4773,71.5529,203.206,464.136,319.92,497.764,575.806,534.293,900.779,671.212,628.854,258.875,126.824,25.3495,0,0,0,0,0
