Location,TVA,,,,
Address,"1709 Alcoa Highway, Knoxville TN",,,,
Long. Lat,35.942,-83.952,,,
Opt. tilt,30.75 deg,accurate to 0.25 deg,,,
Opt. azimuth,179.75 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 1, 12:00 am",0,0,5,0,4.6
"Jan 1, 01:00 am",0,0,5,0,4.8
"Jan 1, 02:00 am",0,0,5,0,5.2
"Jan 1, 03:00 am",0,0,5,0,5.5
"Jan 1, 04:00 am",0,0,5,0,4.9
"Jan 1, 05:00 am",0,0,5,0,4.2
"Jan 1, 06:00 am",0,0,5,0,3.6
"Jan 1, 07:00 am",2.78911,3,6,74.1773,2.7
"Jan 1, 08:00 am",49.7172,48,6,66.7359,1.8
"Jan 1, 09:00 am",119.674,118,6,53.9082,0.9
"Jan 1, 10:00 am",191.708,188,7,42.1348,1.5
"Jan 1, 11:00 am",368.858,282,7,32.7113,2
"Jan 1, 12:00 pm",302.932,256,7.8,28.1537,2.6
"Jan 1, 01:00 pm",321.321,273,8.2,30.7231,2.9
"Jan 1, 02:00 pm",421.764,285,8.5,39.0318,3.3
"Jan 1, 03:00 pm",229.552,187,8.9,50.295,3.6
"Jan 1, 04:00 pm",173.386,83,7.4,62.9042,3.3
"Jan 1, 05:00 pm",26.5343,15,5.9,72.4482,2.9
"Jan 1, 06:00 pm",0,0,4.4,0,2.6
"Jan 1, 07:00 pm",0,0,3.9,0,1.7
"Jan 1, 08:00 pm",0,0,3.3,0,0.9
"Jan 1, 09:00 pm",0,0,2.8,0,0
"Jan 1, 10:00 pm",0,0,1.9,0,0
"Jan 1, 11:00 pm",0,0,0.9,0,0
"Jan 2, 12:00 am",0,0,0,0,0
"Jan 2, 01:00 am",0,0,-0.4,0,0.5
"Jan 2, 02:00 am",0,0,-0.7,0,1
"Jan 2, 03:00 am",0,0,-1.1,0,1.5
"Jan 2, 04:00 am",0,0,-0.9,0,1.7
"Jan 2, 05:00 am",0,0,-0.8,0,1.9
"Jan 2, 06:00 am",0,0,-0.6,0,2.1
"Jan 2, 07:00 am",0.929703,1,-0.2,74.2444,1.9
"Jan 2, 08:00 am",44.1473,43,0.2,66.8163,1.7
"Jan 2, 09:00 am",56.2784,59,0.6,53.9711,1.5
"Jan 2, 10:00 am",156.765,157,1.3,42.17,1.9
"Jan 2, 11:00 am",201.49,200,2.1,32.7009,2.2
"Jan 2, 12:00 pm",258.545,251,2.8,28.0795,2.6
