Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Number of counted days,Total no. of days in month
Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.903225806451613,63.03225806451613,167.83870967741936,282.741935483871,341.61290322580646,365.35483870967744,357.96774193548384,331.03225806451616,223.4516129032258,114.35483870967742,27.451612903225808,0.0,0.0,0.0,0.0,0.0,0.0,31,31
Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.321428571428573,105.53571428571429,228.60714285714286,329.0,418.25,464.5,462.39285714285717,413.5357142857143,337.60714285714283,200.28571428571428,67.85714285714286,7.071428571428571,0.0,0.0,0.0,0.0,0.0,28,28
Mar,0.0,0.0,0.0,0.0,0.0,0.0,4.67741935483871,64.58064516129032,197.03225806451613,343.6774193548387,464.5483870967742,543.3225806451613,584.8709677419355,543.6774193548387,514.8709677419355,400.9032258064516,279.5483870967742,123.45161290322581,24.903225806451612,0.0,0.0,0.0,0.0,0.0,31,31
Apr,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,35.275862068965516,158.3448275862069,319.0,485.7586206896552,623.2068965517242,693.5172413793103,705.4827586206897,724.0,636.5862068965517,501.2068965517241,373.0344827586207,190.20689655172413,51.89655172413793,1.8275862068965518,0.0,0.0,0.0,0.0,29,30
May,0.0,0.0,0.0,0.0,0.0,0.7586206896551724,112.0,256.3103448275862,414.1034482758621,536.9655172413793,660.7931034482758,740.7241379310345,696.3103448275862,691.2068965517242,587.8275862068965,484.6896551724138,388.55172413793105,246.86206896551724,101.0,2.896551724137931,0.0,0.0,0.0,0.0,29,31
Jun,0.0,0.0,0.0,0.0,0.0,2.9655172413793105,110.93103448275862,250.6551724137931,409.86206896551727,588.7931034482758,680.3103448275862,683.3793103448276,763.1724137931035,743.6551724137931,638.2413793103449,558.448275862069,440.51724137931035,291.41379310344826,124.79310344827586,18.275862068965516,0.0,0.0,0.0,0.0,29,30
Jul,0.0,0.0,0.0,0.0,0.0,8.892857142857142,73.67857142857143,229.53571428571428,399.17857142857144,589.5357142857143,714.5,792.8214285714286,811.5,763.7857142857143,684.3214285714286,551.2857142857143,431.14285714285717,276.82142857142856,122.82142857142857,25.571428571428573,0.0,0.0,0.0,0.0,28,31
Aug,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,42.86666666666667,172.03333333333333,340.93333333333334,504.73333333333335,609.7,697.9333333333333,736.8,718.7,644.8666666666667,525.8,403.3666666666667,230.7,76.63333333333334,9.766666666666667,0.0,0.0,0.0,0.0,30,31
Sep,0.0,0.0,0.0,0.0,0.0,0.0,14.1,115.23333333333333,272.73333333333335,424.8666666666667,535.0666666666667,605.4666666666667,619.8666666666667,606.5333333333333,550.4333333333333,432.53333333333336,275.46666666666664,128.8,18.5,0.0,0.0,0.0,0.0,0.0,30,30
Oct,0.0,0.0,0.0,0.0,0.0,0.0,1.3225806451612903,63.54838709677419,197.80645161290323,323.1290322580645,452.7741935483871,491.258064516129,524.3870967741935,499.06451612903226,419.8709677419355,291.83870967741933,175.48387096774192,38.774193548387096,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,31,31
Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,130.03333333333333,253.7,352.8333333333333,407.96666666666664,429.6333333333333,406.6,327.7,214.76666666666668,96.7,16.2,0.0,0.0,0.0,0.0,0.0,0.0,30,30
Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.70967741935483,177.32258064516128,249.19354838709677,322.19354838709677,342.3225806451613,341.5806451612903,248.25806451612902,190.32258064516128,75.45161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31
