Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Number of counted days,Total no. of days in month
Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.075790838709677,114.41790322580644,266.82980000000003,408.97064516129035,481.0570967741936,507.83148387096776,496.8127741935483,473.4517419354838,331.6564096774195,184.03925161290323,45.02054516129032,0.0,0.0,0.0,0.0,0.0,0.0,31,31
Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.008771071428573,146.37224285714288,295.696925,413.20092857142845,530.0252499999999,582.7447857142857,591.781,541.268107142857,449.725,270.3663392857143,101.64682142857144,7.204309642857142,0.0,0.0,0.0,0.0,0.0,28,28
Mar,0.0,0.0,0.0,0.0,0.0,0.0,3.9858402,74.70132580645162,234.67623870967745,409.87414193548386,551.689806451613,650.3519354838711,700.3989677419353,644.2626451612902,607.9768064516128,471.0195483870968,334.4235322580645,143.9062064516129,24.119481612903222,0.0,0.0,0.0,0.0,0.0,31,31
Apr,0.0,0.0,0.0,0.0,0.0,0.0961761724137931,23.404775862068963,146.37251379310348,323.4669310344827,515.7357586206897,675.2976896551725,758.4656896551722,776.2932413793104,797.2413103448274,692.1374137931035,533.1787586206898,381.6635517241379,178.50043793103444,36.93134482758621,1.506760655172414,0.0,0.0,0.0,0.0,29,30
May,0.0,0.0,0.0,0.0,0.0,0.47534990000000005,68.53615666666666,201.217,367.1916933333333,503.35718333333347,644.0448,732.9865666666666,693.7543999999999,686.9025333333334,574.0140666666667,456.52543999999995,345.1574299999999,198.79645666666667,59.06132666666667,2.258829266666667,0.0,0.0,0.0,0.0,30,31
Jun,0.0,0.0,0.0,0.0,0.0,1.8481685862068962,67.92916551724139,195.50608965517245,358.41305862068964,550.2552068965516,659.324620689655,672.1548965517242,757.2252413793107,737.0612413793104,621.2592758620689,525.6279999999999,391.1508620689656,229.38937931034485,74.08639310344824,12.794425517241375,0.0,0.0,0.0,0.0,29,30
Jul,0.0,0.0,0.0,0.0,0.0,7.310606428571426,43.230264285714284,175.00358214285714,353.10014285714294,560.7600357142857,707.3388928571427,801.1381785714285,826.4357142857142,773.6351071428572,681.6374642857139,531.2297857142856,393.6070571428571,227.53868214285708,79.35149285714286,19.547828571428568,0.0,0.0,0.0,0.0,28,31
Aug,0.0,0.0,0.0,0.0,0.0,0.6507927333333333,28.97292266666667,144.96998000000002,325.95496666666656,510.60016666666667,635.9911666666668,741.8352,787.7741666666667,765.3834666666668,674.6586666666667,534.2171000000001,391.2708333333333,202.8711733333333,53.083253333333346,8.038754299999999,0.0,0.0,0.0,0.0,30,31
Sep,0.0,0.0,0.0,0.0,0.0,0.0,12.359556999999997,120.10735000000003,303.92938,481.79859999999996,619.3776666666669,698.6142999999997,720.6410333333336,701.5112,636.1213,487.26746666666673,301.78658666666666,134.05801000000002,15.536849,0.0,0.0,0.0,0.0,0.0,30,30
Oct,0.0,0.0,0.0,0.0,0.0,0.0,1.7159801612903227,88.95322580645158,266.80342903225807,424.6336774193549,586.8488387096775,631.1565161290322,675.2597419354839,645.2006774193546,540.6856129032259,386.9019677419354,241.38064838709678,53.847749032258065,0.15245096774193548,0.0,0.0,0.0,0.0,0.0,31,31
Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.56628666666666,203.40795000000006,368.53726666666677,500.70443333333327,566.8307333333335,593.1278000000001,573.7336333333333,470.6487,325.4173766666667,162.01215666666664,21.153249000000002,0.0,0.0,0.0,0.0,0.0,0.0,30,30
Dec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3600709677419355,151.69177419354838,289.9634096774194,378.40751935483866,479.10922903225804,511.05079677419354,513.1152741935484,378.99036774193536,317.85537419354836,152.767335483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31
