Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,5,5,5,5,5,5,5,6,6,6,7,7,7.8,8.2,8.5,8.9,7.4,5.9,4.4,3.9,3.3,2.8,1.9,0.9
Jan 2,0,-0.4,-0.7,-1.1,-0.9,-0.8,-0.6,-0.2,0.2,0.6,1.3,2.1,2.8,3.9,5,6.1,5.7,5.4,5,5,5,5,5.2,5.4
Jan 3,5.6,5.6,5.6,5.6,6.3,7.1,7.8,8.2,8.5,8.9,7.4,5.9,4.4,4.2,4.1,3.9,3.3,2.8,2.2,1.5,0.7,0,-0.2,-0.4
Jan 4,-0.6,-1.3,-2.1,-2.8,-3.7,-4.7,-5.6,-5.2,-4.8,-4.4,-3.7,-2.9,-2.2,-1.7,-1.1,-0.6,-1.7,-2.8,-3.9,-4.6,-5.4,-6.1,-6.8,-7.6
Jan 5,-8.3,-8.5,-8.7,-8.9,-9.1,-9.2,-9.4,-8.3,-7.2,-6.1,-5,-3.9,-2.8,-2.1,-1.3,-0.6,-1.3,-2.1,-2.8,-3.5,-4.3,-5,-5.6,-6.1
Jan 6,-6.7,-7.1,-7.4,-7.8,-8,-8.1,-8.3,-7,-5.7,-4.4,-2.2,0,2.2,3.3,4.5,5.6,4.7,3.7,2.8,1.3,-0.2,-1.7,-2.2,-2.8
Jan 7,-3.3,-3.3,-3.3,-3.3,-2.8,-2.2,-1.7,-1.3,-1,-0.6,-0.2,0.2,0.6,1.1,1.7,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.6,2.9
Jan 8,3.3,2.8,2.2,1.7,0.6,-0.6,-1.7,-2.4,-3.2,-3.9,-3.5,-3.2,-2.8,-3,-3.1,-3.3,-4.4,-5.6,-6.7,-7.2,-7.8,-8.3,-9.1,-9.8
Jan 9,-10.6,-11.1,-11.7,-12.2,-12.8,-13.3,-13.9,-12.8,-11.7,-10.6,-9.1,-7.6,-6.1,-5.2,-4.2,-3.3,-4.1,-4.8,-5.6,-5.8,-5.9,-6.1,-6.7,-7.2
Jan 10,-7.8,-8,-8.1,-8.3,-8.7,-9,-9.4,-8.3,-7.2,-6.1,-3.9,-1.6,0.6,1.9,3.1,4.4,3.7,2.9,2.2,0.9,-0.4,-1.7,-1.9,-2
Jan 11,-2.2,-1.8,-1.5,-1.1,-0.7,-0.4,0,0.2,0.4,0.6,0.8,0.9,1.1,2,3,3.9,4.1,4.2,4.4,4,3.7,3.3,2.8,2.2
Jan 12,1.7,1.3,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.9,3.1,4.4,5.2,5.9,6.7,5.2,3.7,2.2,1.1,0,-1.1,-0.5,0
Jan 13,0.6,0.6,0.6,0.6,0.8,0.9,1.1,1.3,1.5,1.7,3.2,4.6,6.1,9.3,12.4,15.6,15.2,14.8,14.4,13.3,12.2,11.1,8.9,6.6
Jan 14,4.4,4.2,4.1,3.9,3.2,2.4,1.7,2.2,2.8,3.3,4.2,5.2,6.1,6.7,7.2,7.8,6.5,5.2,3.9,3,2,1.1,0.4,-0.4
Jan 15,-1.1,-1.7,-2.2,-2.8,-3.7,-4.7,-5.6,-4.7,-3.7,-2.8,-0.4,2,4.4,5.3,6.3,7.2,6.3,5.3,4.4,3.5,2.6,1.7,2.8,3.9
Jan 16,5,4.3,3.5,2.8,2.6,2.4,2.2,2.9,3.7,4.4,5.2,5.9,6.7,5.8,4.8,3.9,3.7,3.5,3.3,2.9,2.6,2.2,1.8,1.5
Jan 17,1.1,0.4,-0.4,-1.1,-1.8,-2.6,-3.3,-3.7,-4,-4.4,-3.9,-3.3,-2.8,-3.2,-3.5,-3.9,-4.8,-5.8,-6.7,-7.2,-7.8,-8.3,-8.7,-9
Jan 18,-9.4,-9.8,-10.2,-10.6,-11,-11.3,-11.7,-10.9,-10.2,-9.4,-8.1,-6.9,-5.6,-4.5,-3.3,-2.2,-3.5,-4.8,-6.1,-6.7,-7.2,-7.8,-8.3,-8.9
