Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,0,0,0,0,0,0,0,3,48,118,188,282,256,273,285,187,83,15,0,0,0,0,0,0
Jan 2,0,0,0,0,0,0,0,1,43,59,157,200,251,279,300,219,109,18,0,0,0,0,0,0
Jan 3,0,0,0,0,0,0,0,2,42,49,150,197,189,249,207,117,70,13,0,0,0,0,0,0
Jan 4,0,0,0,0,0,0,0,4,69,234,362,444,479,478,415,297,134,23,0,0,0,0,0,0
Jan 5,0,0,0,0,0,0,0,8,55,124,310,334,314,323,290,161,115,23,0,0,0,0,0,0
Jan 6,0,0,0,0,0,0,0,6,78,244,393,500,545,523,442,306,139,27,0,0,0,0,0,0
Jan 7,0,0,0,0,0,0,0,4,55,141,244,180,107,181,173,97,77,20,0,0,0,0,0,0
Jan 8,0,0,0,0,0,0,0,1,43,112,199,235,249,239,264,165,68,15,0,0,0,0,0,0
Jan 9,0,0,0,0,0,0,0,2,49,228,352,493,451,499,433,319,150,29,0,0,0,0,0,0
Jan 10,0,0,0,0,0,0,0,2,71,208,251,423,488,463,410,248,114,21,0,0,0,0,0,0
Jan 11,0,0,0,0,0,0,0,0,39,69,195,228,130,226,206,100,96,22,0,0,0,0,0,0
Jan 12,0,0,0,0,0,0,0,4,49,138,247,343,458,399,421,214,91,30,0,0,0,0,0,0
Jan 13,0,0,0,0,0,0,0,0,26,65,178,200,259,242,208,160,80,22,0,0,0,0,0,0
Jan 14,0,0,0,0,0,0,0,5,74,239,373,507,558,542,459,327,160,33,0,0,0,0,0,0
Jan 15,0,0,0,0,0,0,0,7,84,254,407,453,528,411,336,176,117,30,0,0,0,0,0,0
Jan 16,0,0,0,0,0,0,0,2,33,91,182,209,228,259,223,175,97,22,0,0,0,0,0,0
Jan 17,0,0,0,0,0,0,0,5,62,148,272,269,423,430,270,263,130,26,0,0,0,0,0,0
Jan 18,0,0,0,0,0,0,0,8,90,266,424,537,587,575,491,354,181,40,0,0,0,0,0,0
Jan 19,0,0,0,0,0,0,0,7,87,261,420,531,580,458,392,159,75,20,0,0,0,0,0,0
Jan 20,0,0,0,0,0,0,0,0,44,99,155,192,253,226,205,159,82,24,0,0,0,0,0,0
Jan 21,0,0,0,0,0,0,0,12,93,248,380,307,267,283,376,377,136,45,0,0,0,0,0,0
Jan 22,0,0,0,0,0,0,0,8,85,244,308,342,340,355,432,365,194,45,0,0,0,0,0,0
Jan 23,0,0,0,0,0,0,0,6,88,260,414,490,539,508,457,316,141,34,0,0,0,0,0,0
Jan 24,0,0,0,0,0,0,0,3,48,113,243,263,250,257,268,199,117,36,0,0,0,0,0,0
Jan 25,0,0,0,0,0,0,0,6,52,131,197,239,338,246,236,81,64,24,0,0,0,0,0,0
Jan 26,0,0,0,0,0,0,0,4,44,88,190,248,264,292,261,127,112,34,0,0,0,0,0,0
Jan 27,0,0,0,0,0,0,0,7,56,81,233,255,277,271,235,194,90,24,0,0,0,0,0,0
Jan 28,0,0,0,0,0,0,0,9,95,267,432,547,600,570,487,351,163,28,0,0,0,0,0,0
Jan 29,0,0,0,0,0,0,0,10,74,100,151,263,368,312,354,300,154,52,0,0,0,0,0,0
Jan 30,0,0,0,0,0,0,0,7,98,274,447,510,455,475,523,251,116,29,0,0,0,0,0,0
Jan 31,0,0,0,0,0,0,0,9,80,250,311,369,295,253,203,163,90,27,0,0,0,0,0,0
Feb 1,0,0,0,0,0,0,0,5,39,87,147,169,182,180,160,116,116,20,0,0,0,0,0,0
Feb 2,0,0,0,0,0,0,0,10,45,94,140,165,182,191,175,218,131,43,0,0,0,0,0,0
