Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,0,0,0,0,0,0,0,2.78911,49.7172,119.674,191.708,368.858,302.932,321.321,421.764,229.552,173.386,26.5343,0,0,0,0,0,0
Jan 2,0,0,0,0,0,0,0,0.929703,44.1473,56.2784,156.765,201.49,258.545,331.973,444.1,344.283,183.403,24.2961,0,0,0,0,0,0
Jan 3,0,0,0,0,0,0,0,1.85941,43.5936,46.9096,148.775,196.859,184.498,254.61,210.843,114.173,71.7905,11.7217,0,0,0,0,0,0
Jan 4,0,0,0,0,0,0,0,5.35921,152.962,464.95,640.393,736.337,790.658,802.692,727.588,570.25,315.309,53.4545,0,0,0,0,0,0
Jan 5,0,0,0,0,0,0,0,12.17,107.855,144.173,464.959,487.743,440.193,435.504,390.438,191.486,232.199,51.7531,0,0,0,0,0,0
Jan 6,0,0,0,0,0,0,0,7.99617,212.393,492.876,697.622,846.106,905.126,877.102,768.202,578.868,326.899,63.3064,0,0,0,0,0,0
Jan 7,0,0,0,0,0,0,0,4.51557,74.8772,215.276,330.11,206.842,101.554,178.344,172.998,93.5789,81.381,19.6044,0,0,0,0,0,0
Jan 8,0,0,0,0,0,0,0,0.929703,44.4254,112.436,204.632,239.02,253.122,242.601,322.008,222.309,70.3143,18.6565,0,0,0,0,0,0
Jan 9,0,0,0,0,0,0,0,2.24509,92.9334,423.056,580.587,823.607,704.967,824.49,751.602,597.707,347.595,73.4495,0,0,0,0,0,0
Jan 10,0,0,0,0,0,0,0,3.02407,166.323,369.74,402.043,655.387,773.588,748.357,659.169,414.327,184.554,23.0558,0,0,0,0,0,0
Jan 11,0,0,0,0,0,0,0,0.2605,40.3449,71.6837,201.702,233.56,122.999,228.168,209.274,95.4688,102.853,21.4448,0,0,0,0,0,0
Jan 12,0,0,0,0,0,0,0,3.71881,51.5595,144.318,324.267,499.731,713.554,572.934,687.813,313.516,115.357,63.7161,0,0,0,0,0,0
Jan 13,0,0,0,0,0,0,0,0,24.616,67.7741,179.751,198.858,263.903,244.95,210.98,162.124,81.223,21.1942,0,0,0,0,0,0
