Location,UMMC,,,,
Address,Jackson MS Int Airport,,,,
Opt. tilt,29.25 deg,accurate to 0.25 deg,,,
Opt. azimuth,180.75 deg,accurate to 0.25 deg,,,
,,,,,
,Plane of array irradiance | (W/m2),Global horizontal irradiance | (W/m2),Ambient temperature | (C),Angle of incidence | (deg),Wind speed | (m/s)
"Jan 1, 12:00 am",0,0,-2.2,0,0
"Jan 1, 01:00 am",0,0,-2.8,0,0
"Jan 1, 02:00 am",0,0,-2.8,0,0
"Jan 1, 03:00 am",0,0,-3.3,0,0
"Jan 1, 04:00 am",0,0,-3.9,0,1.5
"Jan 1, 05:00 am",0,0,-1.7,0,1.5
"Jan 1, 06:00 am",0,0,-1.1,0,1.5
"Jan 1, 07:00 am",86.2968,46,-1.1,71.0229,1.5
"Jan 1, 08:00 am",428.155,216,1.1,58.4995,2.1
"Jan 1, 09:00 am",679.304,397,5,45.9246,2.6
"Jan 1, 10:00 am",853.863,529,7.2,34.8991,3.6
"Jan 1, 11:00 am",940.63,596,8.9,27.4334,4.1
"Jan 1, 12:00 pm",958.744,608,9.4,26.7296,5.2
"Jan 1, 01:00 pm",876.435,542,10.6,33.2222,4.6
"Jan 1, 02:00 pm",694.851,404,10.6,43.8081,5.2
"Jan 1, 03:00 pm",165.752,138,10,56.1923,5.7
"Jan 1, 04:00 pm",38.9026,34,8.9,69.3343,3.6
"Jan 1, 05:00 pm",0.936248,1,8.3,75.9386,7.2
"Jan 1, 06:00 pm",0,0,6.7,0,4.1
"Jan 1, 07:00 pm",0,0,5.6,0,2.6
"Jan 1, 08:00 pm",0,0,2.2,0,0
"Jan 1, 09:00 pm",0,0,0.6,0,1.5
"Jan 1, 10:00 pm",0,0,-0.6,0,0
"Jan 1, 11:00 pm",0,0,-1.1,0,0
"Jan 2, 12:00 am",0,0,-1.7,0,0
"Jan 2, 01:00 am",0,0,-2.2,0,0
"Jan 2, 02:00 am",0,0,-2.2,0,2.1
"Jan 2, 03:00 am",0,0,-1.1,0,1.5
"Jan 2, 04:00 am",0,0,-2.2,0,0
"Jan 2, 05:00 am",0,0,-2.8,0,0
"Jan 2, 06:00 am",0,0,-4.4,0,0
"Jan 2, 07:00 am",164.512,58,-2.2,71.0884,0
"Jan 2, 08:00 am",442.533,225,1.1,58.5739,0
"Jan 2, 09:00 am",671.273,394,4.4,45.977,3.1
"Jan 2, 10:00 am",847.477,527,7.2,34.9147,3.6
"Jan 2, 11:00 am",939.29,598,7.8,27.3885,3.6
"Jan 2, 12:00 pm",950.626,605,8.9,26.6201,1.5
"Jan 2, 01:00 pm",871.622,541,10,33.086,1.5
"Jan 2, 02:00 pm",717.902,419,10,43.6707,2.6
"Jan 2, 03:00 pm",491.374,251,9.4,56.0609,0
"Jan 2, 04:00 pm",209.196,71,7.2,69.2123,2.1
"Jan 2, 05:00 pm",2.39655,6,3.3,75.9136,0
"Jan 2, 06:00 pm",0,0,1.7,0,1.5
"Jan 2, 07:00 pm",0,0,0,0,0
"Jan 2, 08:00 pm",0,0,-0.6,0,0
"Jan 2, 09:00 pm",0,0,-1.1,0,2.1
"Jan 2, 10:00 pm",0,0,-1.1,0,3.1
"Jan 2, 11:00 pm",0,0,-0.6,0,2.6
"Jan 3, 12:00 am",0,0,0,0,0
"Jan 3, 01:00 am",0,0,0.6,0,1.5
"Jan 3, 02:00 am",0,0,2.2,0,4.1
"Jan 3, 03:00 am",0,0,4.4,0,4.6
"Jan 3, 04:00 am",0,0,5,0,4.1
"Jan 3, 05:00 am",0,0,5,0,5.2
"Jan 3, 06:00 am",0,0,5,0,6.7
"Jan 3, 07:00 am",19.48,20,6.1,71.1545,6.7
"Jan 3, 08:00 am",78.8786,80,6.1,58.6448,7.7
"Jan 3, 09:00 am",144.462,146,7.8,46.0249,6.7
"Jan 3, 10:00 am",234.815,232,8.3,34.9246,6.7
"Jan 3, 11:00 am",295.473,287,8.9,27.3367,5.7
"Jan 3, 12:00 pm",230.823,231,10,26.5039,5.2
"Jan 3, 01:00 pm",136.417,142,10,32.9449,4.1
"Jan 3, 02:00 pm",104.454,111,8.9,43.5304,3.6
"Jan 3, 03:00 pm",68.4119,73,5.6,55.9281,1.5
"Jan 3, 04:00 pm",22.1849,24,5.6,69.0898,5.7
"Jan 3, 05:00 pm",0.936248,1,5.6,75.8906,10.3
"Jan 3, 06:00 pm",0,0,5,0,11.3
"Jan 3, 07:00 pm",0,0,5,0,7.2
"Jan 3, 08:00 pm",0,0,5.6,0,5.7
"Jan 3, 09:00 pm",0,0,5.6,0,3.1
"Jan 3, 10:00 pm",0,0,5.6,0,2.1
"Jan 3, 11:00 pm",0,0,5.6,0,3.6
"Jan 4, 12:00 am",0,0,5.6,0,4.1
"Jan 4, 01:00 am",0,0,5.6,0,4.1
"Jan 4, 02:00 am",0,0,5,0,4.1
"Jan 4, 03:00 am",0,0,5,0,4.6
"Jan 4, 04:00 am",0,0,4.4,0,6.2
"Jan 4, 05:00 am",0,0,4.4,0,7.2
"Jan 4, 06:00 am",0,0,3.9,0,5.2
"Jan 4, 07:00 am",49.5143,43,3.9,71.2212,5.2
"Jan 4, 08:00 am",127.701,122,4.4,58.7124,5.2
"Jan 4, 09:00 am",210.605,204,5,46.0684,4.6
"Jan 4, 10:00 am",284.792,277,5.6,34.9289,5.7
"Jan 4, 11:00 am",304.838,297,6.7,27.278,6.2
"Jan 4, 12:00 pm",328.299,318,7.2,26.3809,6.2
"Jan 4, 01:00 pm",511.244,368,8.9,32.799,7.2
"Jan 4, 02:00 pm",587.039,355,9.4,43.3873,8.2
"Jan 4, 03:00 pm",463.405,241,9.4,55.7939,6.2
"Jan 4, 04:00 pm",212.987,72,7.8,68.967,5.2
"Jan 4, 05:00 pm",6.06303,7,6.7,75.8694,5.2
"Jan 4, 06:00 pm",0,0,5.6,0,4.6
"Jan 4, 07:00 pm",0,0,4.4,0,5.2
"Jan 4, 08:00 pm",0,0,3.9,0,5.2
"Jan 4, 09:00 pm",0,0,3.3,0,3.1
"Jan 4, 10:00 pm",0,0,2.8,0,4.1
"Jan 4, 11:00 pm",0,0,2.2,0,4.1
"Jan 5, 12:00 am",0,0,1.7,0,3.1
"Jan 5, 01:00 am",0,0,1.1,0,3.1
"Jan 5, 02:00 am",0,0,1.1,0,2.1
"Jan 5, 03:00 am",0,0,0.6,0,2.6
"Jan 5, 04:00 am",0,0,0,0,2.1
"Jan 5, 05:00 am",0,0,-1.1,0,2.1
"Jan 5, 06:00 am",0,0,-1.1,0,2.1
"Jan 5, 07:00 am",131.125,49,-0.6,71.2885,1.5
"Jan 5, 08:00 am",426.004,218,1.1,58.7764,2.1
"Jan 5, 09:00 am",510.643,303,4.4,46.1075,3.6
"Jan 5, 10:00 am",832.581,520,7.2,34.9276,2.6
"Jan 5, 11:00 am",919.285,589,10,27.2125,2.6
"Jan 5, 12:00 pm",945.773,604,12.2,26.2512,3.1
"Jan 5, 01:00 pm",863.632,540,12.2,32.6485,4.1
"Jan 5, 02:00 pm",716.813,423,12.8,43.2415,3.6
"Jan 5, 03:00 pm",489.072,254,13.3,55.6584,4.1
"Jan 5, 04:00 pm",212.692,75,11.1,68.844,0
"Jan 5, 05:00 pm",5.58093,5,5.6,75.8502,0
"Jan 5, 06:00 pm",0,0,2.8,0,1.5
"Jan 5, 07:00 pm",0,0,2.2,0,1.5
"Jan 5, 08:00 pm",0,0,1.1,0,0
"Jan 5, 09:00 pm",0,0,0.6,0,1.5
"Jan 5, 10:00 pm",0,0,0,0,0
"Jan 5, 11:00 pm",0,0,-0.6,0,4.1
"Jan 6, 12:00 am",0,0,0.6,0,2.1
"Jan 6, 01:00 am",0,0,0.6,0,2.6
"Jan 6, 02:00 am",0,0,1.7,0,3.1
"Jan 6, 03:00 am",0,0,0,0,0
"Jan 6, 04:00 am",0,0,-1.1,0,2.1
"Jan 6, 05:00 am",0,0,-1.7,0,3.1
"Jan 6, 06:00 am",0,0,-1.7,0,0
"Jan 6, 07:00 am",127.149,49,0,71.3563,0
"Jan 6, 08:00 am",326.338,186,6.1,58.8369,2.1
"Jan 6, 09:00 am",520.236,323,10.6,46.1421,2.6
"Jan 6, 10:00 am",506.748,341,12.2,34.9206,4.6
"Jan 6, 11:00 am",732.729,487,14.4,27.1402,5.2
"Jan 6, 12:00 pm",626.756,428,15,26.1149,5.2
"Jan 6, 01:00 pm",668.077,436,16.1,32.4934,2.1
"Jan 6, 02:00 pm",553.008,349,16.7,43.0932,4.1
"Jan 6, 03:00 pm",160.784,123,16.1,55.5218,4.6
"Jan 6, 04:00 pm",76.6201,56,13.3,68.7208,1.5
"Jan 6, 05:00 pm",5.25622,6,10.6,75.8331,2.1
"Jan 6, 06:00 pm",0,0,7.2,0,4.1
"Jan 6, 07:00 pm",0,0,7.2,0,2.1
"Jan 6, 08:00 pm",0,0,6.1,0,0
"Jan 6, 09:00 pm",0,0,5,0,1.5
"Jan 6, 10:00 pm",0,0,4.4,0,2.6
"Jan 6, 11:00 pm",0,0,5,0,4.1
"Jan 7, 12:00 am",0,0,5,0,3.1
"Jan 7, 01:00 am",0,0,5,0,2.6
"Jan 7, 02:00 am",0,0,5.6,0,1.5
"Jan 7, 03:00 am",0,0,6.7,0,0
"Jan 7, 04:00 am",0,0,7.2,0,3.1
"Jan 7, 05:00 am",0,0,6.7,0,2.1
"Jan 7, 06:00 am",0,0,6.1,0,2.1
"Jan 7, 07:00 am",20.6967,22,7.2,71.4246,0
"Jan 7, 08:00 am",128.785,123,10,58.8938,1.5
"Jan 7, 09:00 am",438.46,285,13.3,46.1721,1.5
"Jan 7, 10:00 am",303.984,267,15.6,34.9079,1.5
"Jan 7, 11:00 am",503.998,370,16.7,27.0611,1.5
"Jan 7, 12:00 pm",409.89,353,17.8,25.972,3.6
"Jan 7, 01:00 pm",485.037,359,18.9,32.3337,4.1
"Jan 7, 02:00 pm",196.15,176,17.8,42.9425,3.6
"Jan 7, 03:00 pm",287.753,189,17.8,55.3842,4.1
"Jan 7, 04:00 pm",117.537,56,15,68.5976,4.6
"Jan 7, 05:00 pm",3.54376,3,12.8,75.8179,4.6
"Jan 7, 06:00 pm",0,0,11.7,0,5.2
