Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Number of counted days,Total no. of days in month
Jan,4.003333333333334,3.596666666666667,3.413333333333333,3.203333333333334,2.94,2.8733333333333335,2.7633333333333328,3.573333333333333,5.120000000000001,6.976666666666668,8.473333333333334,9.576666666666664,10.37,11.08666666666667,11.020000000000001,10.723333333333331,9.743333333333334,7.9366666666666665,6.6333333333333355,5.756666666666667,5.1066666666666665,4.78,4.486666666666666,4.3966666666666665,30,31
Feb,5.851851851851852,5.659259259259259,5.507407407407407,5.344444444444444,5.407407407407407,5.577777777777778,5.385185185185185,7.137037037037037,9.09259259259259,11.129629629629632,12.877777777777778,13.825925925925926,14.592592592592593,15.08148148148148,15.481481481481481,15.292592592592595,14.8,12.707407407407409,10.481481481481481,9.200000000000001,8.674074074074074,7.82962962962963,7.351851851851851,6.907407407407407,27,28
Mar,12.08,11.446666666666667,11.033333333333331,10.606666666666664,10.549999999999999,10.520000000000003,11.096666666666666,13.25,15.550000000000002,17.35333333333334,18.84666666666666,19.686666666666664,20.503333333333334,20.75,20.879999999999995,20.61333333333333,19.906666666666663,18.093333333333337,15.776666666666667,14.573333333333334,14.079999999999997,13.633333333333336,13.140000000000004,12.566666666666665,30,31
Apr,14.86206896551724,14.275862068965516,13.910344827586206,13.565517241379307,13.096551724137933,12.748275862068967,14.751724137931037,17.017241379310345,19.06551724137931,20.36896551724138,21.531034482758624,22.572413793103443,23.337931034482764,23.77241379310345,23.813793103448276,23.986206896551725,23.627586206896552,22.224137931034484,19.406896551724145,17.93103448275862,17.244827586206895,16.582758620689656,16.2,15.617241379310345,29,30
May,17.213793103448275,16.724137931034484,16.482758620689655,16.237931034482752,16.08965517241379,16.610344827586204,18.620689655172413,20.651724137931037,22.48620689655172,23.955172413793107,24.75172413793104,25.731034482758623,26.25517241379311,26.606896551724137,26.893103448275863,26.451724137931038,25.78620689655173,24.717241379310344,22.193103448275867,20.39655172413793,19.624137931034483,19.20344827586207,18.755172413793108,18.14137931034483,29,31
Jun,22.707142857142856,22.324999999999996,21.835714285714285,21.485714285714288,21.342857142857145,22.15357142857143,23.88571428571429,25.510714285714283,27.12142857142857,28.228571428571428,29.339285714285715,30.27857142857143,30.875000000000007,31.267857142857146,30.532142857142865,30.357142857142858,30.178571428571434,29.29285714285714,27.25714285714286,25.678571428571427,24.896428571428572,24.210714285714285,23.821428571428573,23.32857142857143,28,30
Jul,23.50333333333333,23.273333333333326,23.139999999999993,23.06666666666667,22.776666666666667,23.49333333333333,25.633333333333333,27.71999999999999,29.55333333333333,30.893333333333338,31.933333333333337,32.35666666666667,32.486666666666665,32.60999999999999,32.349999999999994,31.273333333333337,30.739999999999995,29.62666666666667,27.633333333333326,26.15,25.240000000000002,24.689999999999998,24.17999999999999,23.706666666666656,30,31
Aug,23.51666666666666,23.236666666666665,23.12333333333333,22.913333333333334,22.606666666666666,22.55666666666666,23.919999999999998,26.09333333333334,28.063333333333325,29.810000000000002,31.016666666666676,32.00333333333332,32.83,33.37,33.30666666666666,32.76,32.12666666666666,30.406666666666673,27.519999999999996,26.39,25.51,25.009999999999998,24.51333333333333,23.96999999999999,30,31
Sep,19.651724137931037,19.162068965517246,18.69655172413793,18.386206896551727,18.1,17.927586206896557,19.62758620689655,22.203448275862073,24.51724137931034,26.268965517241373,27.97586206896552,29.08620689655173,29.955172413793097,30.127586206896552,30.193103448275856,29.94482758620689,28.817241379310342,26.427586206896546,23.768965517241377,22.610344827586207,21.803448275862067,20.965517241379306,20.49310344827586,20.051724137931036,29,30
Oct,13.446428571428575,13.125000000000002,12.821428571428573,12.582142857142859,12.300000000000002,11.921428571428573,13.096428571428573,16.760714285714283,20.310714285714287,22.671428571428567,23.985714285714284,25.117857142857144,25.792857142857148,26.171428571428578,26.053571428571434,25.614285714285717,23.21428571428572,18.632142857142856,17.10357142857143,16.567857142857143,15.874999999999998,15.10714285714285,14.699999999999998,14.053571428571427,28,31
Nov,10.653333333333334,10.270000000000001,10.003333333333334,10.053333333333336,10.000000000000002,10.023333333333333,10.139999999999999,12.206666666666662,14.41,16.28,17.736666666666665,19.07,19.85333333333334,19.78000000000001,19.61333333333333,18.673333333333332,16.169999999999998,13.600000000000003,12.489999999999998,12.216666666666669,11.996666666666668,11.580000000000002,11.04666666666667,10.67666666666667,30,30
Dec,4.8933333333333335,4.576666666666666,4.266666666666667,3.5733333333333324,3.7399999999999998,3.54,3.246666666666667,4.573333333333332,7.313333333333333,9.273333333333335,10.873333333333331,12.183333333333334,13.243333333333332,13.69,13.943333333333335,13.413333333333338,11.370000000000001,9.076666666666666,8.243333333333334,7.366666666666666,6.773333333333332,6.273333333333332,5.883333333333334,5.559999999999999,30,31
