Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Number of counted days,Total no. of days in month
Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.096774193548384,159.06451612903226,268.3225806451613,370.16129032258067,401.19354838709677,424.9032258064516,396.03225806451616,308.35483870967744,197.61290322580646,74.7741935483871,9.32258064516129,0.0,0.0,0.0,0.0,0.0,0.0,31,31
Feb,0.0,0.0,0.0,0.0,0.0,0.0,7.785714285714286,71.46428571428571,202.96428571428572,346.0,455.92857142857144,489.57142857142856,520.7857142857143,472.25,410.82142857142856,270.9642857142857,140.67857142857142,33.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,28,28
Mar,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,31.032258064516128,140.0,299.3225806451613,443.258064516129,542.483870967742,603.3870967741935,589.8387096774194,568.258064516129,483.2903225806452,353.51612903225805,175.38709677419354,56.25806451612903,2.4838709677419355,0.0,0.0,0.0,0.0,0.0,31,31
Apr,0.0,0.0,0.0,0.0,0.0,6.933333333333334,90.43333333333334,235.93333333333334,404.03333333333336,528.1666666666666,661.0666666666667,773.6666666666666,801.2666666666667,734.3333333333334,640.1666666666666,466.2,285.4,108.8,7.2,0.0,0.0,0.0,0.0,0.0,30,30
May,0.0,0.0,0.0,0.0,0.0,30.129032258064516,134.51612903225808,289.8709677419355,435.8709677419355,562.0967741935484,662.9032258064516,720.3548387096774,688.0322580645161,686.0,597.1612903225806,440.4193548387097,293.0,134.83870967741936,26.870967741935484,0.0,0.0,0.0,0.0,0.0,31,31
Jun,0.0,0.0,0.0,0.0,0.0,35.81481481481482,191.85185185185185,343.14814814814815,513.8518518518518,636.8518518518518,744.1111111111111,850.1481481481482,815.5925925925926,756.0370370370371,650.7777777777778,504.48148148148147,362.44444444444446,188.96296296296296,44.666666666666664,0.0,0.0,0.0,0.0,0.0,27,30
Jul,0.0,0.0,0.0,0.0,0.0,26.071428571428573,149.53571428571428,338.75,510.39285714285717,652.5714285714286,762.3928571428571,858.3928571428571,828.3928571428571,722.3214285714286,633.8214285714286,476.2142857142857,313.60714285714283,164.92857142857142,43.92857142857143,0.0,0.0,0.0,0.0,0.0,28,31
Aug,0.0,0.0,0.0,0.0,0.0,15.241379310344827,110.17241379310344,294.1034482758621,495.3448275862069,656.3793103448276,745.6206896551724,802.8965517241379,787.4137931034483,721.4827586206897,617.2068965517242,475.62068965517244,297.2413793103448,123.72413793103448,24.93103448275862,0.0,0.0,0.0,0.0,0.0,29,31
Sep,0.0,0.0,0.0,0.0,0.0,0.0,83.10344827586206,237.72413793103448,383.13793103448273,524.6206896551724,665.6896551724138,714.9310344827586,742.448275862069,597.2068965517242,502.8965517241379,380.2758620689655,202.68965517241378,44.310344827586206,0.0,0.0,0.0,0.0,0.0,0.0,29,30
Oct,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,41.733333333333334,182.7,341.1333333333333,504.56666666666666,594.4333333333333,640.8666666666667,611.1333333333333,567.9,431.3,282.26666666666665,111.33333333333333,17.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,30,31
Nov,0.0,0.0,0.0,0.0,0.0,0.0,15.7,97.16666666666667,226.46666666666667,364.3,441.06666666666666,476.73333333333335,475.6333333333333,394.1,295.06666666666666,159.73333333333332,42.666666666666664,0.7,0.0,0.0,0.0,0.0,0.0,0.0,30,30
Dec,0.0,0.0,0.0,0.0,0.0,0.0,2.193548387096774,50.61290322580645,176.25806451612902,286.51612903225805,375.9032258064516,443.06451612903226,430.4516129032258,378.6774193548387,283.64516129032256,157.8709677419355,40.806451612903224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31
