Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Number of counted days,Total no. of days in month
Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.42239677419357,243.72422903225805,378.1374032258064,506.51338709677424,543.0468709677418,576.1673548387097,547.0648387096775,441.60742258064516,301.1091741935485,134.10416129032257,12.082211806451612,0.0,0.0,0.0,0.0,0.0,0.0,31,31
Feb,0.0,0.0,0.0,0.0,0.0,0.0,7.884905142857142,97.85181071428572,260.482925,443.1722392857143,579.7636428571427,608.0313928571429,653.1321071428572,587.5258571428569,524.8725357142857,352.7862107142858,199.18286071428574,47.445428571428565,0.0,0.0,0.0,0.0,0.0,0.0,28,28
Mar,0.0,0.0,0.0,0.0,0.0,0.09060477419354838,30.5575170967742,155.28555806451615,335.5743870967742,504.77667741935494,625.058064516129,701.2916774193549,680.8062258064514,656.6290322580646,556.4517419354839,407.22925806451616,199.6781387096774,63.029380645161304,2.0013458387096774,0.0,0.0,0.0,0.0,0.0,31,31
Apr,0.0,0.0,0.0,0.0,0.0,4.850218066666666,73.36808333333335,225.15104999999994,409.6106333333335,550.4973666666666,700.1972000000001,831.5203,865.5119000000001,787.2396333333332,679.3579333333332,482.4837666666668,279.86814333333336,90.43421333333335,5.462657000000001,0.0,0.0,0.0,0.0,0.0,30,30
May,0.0,0.0,0.0,0.0,0.0,22.32449225806452,100.45737741935484,251.6239322580645,403.95680645161286,542.6937419354838,652.138,717.7125806451616,685.2404838709674,679.1990645161289,584.4249032258062,413.7326451612903,255.96806451612903,99.69773225806453,19.441799999999997,0.0,0.0,0.0,0.0,0.0,31,31
Jun,0.0,0.0,0.0,0.0,0.0,30.797429629629633,130.57782222222218,281.75557407407405,460.02617407407394,598.4316296296297,717.9677407407407,832.0619259259262,799.1828888888892,733.3278888888889,616.9804814814815,457.8778037037037,302.71814074074075,131.76644814814816,28.34872222222222,0.0,0.0,0.0,0.0,0.0,27,30
Jul,0.0,0.0,0.0,0.0,0.0,20.541240357142858,101.7524464285714,278.5073107142858,462.23853571428566,621.3364285714287,746.8837142857144,850.4969285714285,822.1712500000001,711.3192857142858,611.6901785714286,442.7574285714286,273.1556428571428,127.237125,32.347739285714276,0.0,0.0,0.0,0.0,0.0,28,31
Aug,0.0,0.0,0.0,0.0,0.0,12.65358551724138,82.79614137931036,263.7016206896551,483.2873448275861,666.1303448275862,771.8873103448278,842.1356206896551,825.609,749.5481724137932,631.6747586206897,471.02068965517253,276.66916551724137,100.94416896551726,19.318367241379313,0.0,0.0,0.0,0.0,0.0,29,31
Sep,0.0,0.0,0.0,0.0,0.0,0.0,76.96654827586207,249.26387241379305,417.9779931034483,587.8322827586207,758.2883103448278,817.1608275862069,850.8946896551723,677.8700689655174,568.7734689655173,423.79967931034486,218.34120689655174,44.85135068965517,0.0,0.0,0.0,0.0,0.0,0.0,29,30
Oct,0.0,0.0,0.0,0.0,0.0,0.0964735,55.870393333333325,241.79716333333334,437.63543333333325,638.1931333333334,743.2366666666665,800.4490999999998,768.8599666666668,719.5815333333335,554.9195666666667,370.99665666666675,154.53065666666666,18.665833266666663,0.0,0.0,0.0,0.0,0.0,0.0,30,31
Nov,0.0,0.0,0.0,0.0,0.0,0.0,20.48371933333334,150.66878333333335,323.3636366666667,503.2209000000001,599.5970000000001,642.3165,651.3575333333335,545.4635000000001,421.8263833333334,240.73893999999999,75.00148666666668,0.5195060666666665,0.0,0.0,0.0,0.0,0.0,0.0,30,30
Dec,0.0,0.0,0.0,0.0,0.0,0.0,2.683188258064516,102.59921935483875,284.86881612903227,426.0505741935484,539.5312258064516,630.3456774193548,613.8266451612903,551.3547096774195,430.2706193548387,263.4156677419355,80.79639032258063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,31
