Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,-2.2,-2.8,-2.8,-3.3,-3.9,-1.7,-1.1,-1.1,1.1,5,7.2,8.9,9.4,10.6,10.6,10,8.9,8.3,6.7,5.6,2.2,0.6,-0.6,-1.1
Jan 2,-1.7,-2.2,-2.2,-1.1,-2.2,-2.8,-4.4,-2.2,1.1,4.4,7.2,7.8,8.9,10,10,9.4,7.2,3.3,1.7,0,-0.6,-1.1,-1.1,-0.6
Jan 3,0,0.6,2.2,4.4,5,5,5,6.1,6.1,7.8,8.3,8.9,10,10,8.9,5.6,5.6,5.6,5,5,5.6,5.6,5.6,5.6
Jan 4,5.6,5.6,5,5,4.4,4.4,3.9,3.9,4.4,5,5.6,6.7,7.2,8.9,9.4,9.4,7.8,6.7,5.6,4.4,3.9,3.3,2.8,2.2
Jan 5,1.7,1.1,1.1,0.6,0,-1.1,-1.1,-0.6,1.1,4.4,7.2,10,12.2,12.2,12.8,13.3,11.1,5.6,2.8,2.2,1.1,0.6,0,-0.6
Jan 6,0.6,0.6,1.7,0,-1.1,-1.7,-1.7,0,6.1,10.6,12.2,14.4,15,16.1,16.7,16.1,13.3,10.6,7.2,7.2,6.1,5,4.4,5
Jan 7,5,5,5.6,6.7,7.2,6.7,6.1,7.2,10,13.3,15.6,16.7,17.8,18.9,17.8,17.8,15,12.8,11.7,10,8.3,7.8,6.7,5.6
Jan 8,5,4.4,3.9,3.9,3.3,2.8,2.2,2.8,4.4,6.1,8.3,8.9,10,11.1,11.7,12.2,11.1,7.2,5.6,4.4,3.3,2.8,2.8,3.3
Jan 9,5,3.9,5.6,4.4,5,5.6,6.7,7.2,8.9,10,13.3,15.6,17.8,18.9,12.2,11.7,11.1,10.6,10.6,10.6,9.4,7.8,6.7,6.7
Jan 10,6.7,5.6,5.6,5.6,5,4.4,3.9,3.9,4.4,5.6,6.1,6.7,6.7,8.3,8.3,8.3,7.2,6.1,5,3.9,3.3,2.8,1.1,0.6
Jan 11,0,0,0,-0.6,0.6,0.6,0.6,0.6,1.7,2.8,4.4,4.4,5.6,6.7,7.2,7.2,5.6,3.9,0,-1.1,-1.7,-2.8,-2.2,-2.8
Jan 12,-2.8,-2.8,-2.8,-3.3,-2.8,-2.8,-3.9,-2.2,2.2,6.7,9.4,11.1,12.8,13.9,14.4,13.9,12.8,9.4,4.4,2.2,2.2,2.8,2.8,2.8
Jan 13,2.8,2.8,1.7,1.1,1.1,1.1,1.7,2.2,4.4,9.4,12.2,13.3,13.3,13.9,13.3,11.7,11.1,10.6,8.9,8.3,7.8,8.3,7.8,7.8
Jan 14,7.8,7.2,7.8,7.8,7.8,7.8,8.3,8.3,8.3,8.3,8.9,9.4,9.4,10,10,9.4,10,9.4,9.4,8.9,8.9,8.9,7.8,8.9
Jan 15,8.9,9.4,8.9,8.9,8.9,8.9,9.4,9.4,9.4,10.6,10.6,11.7,11.7,12.2,12.8,12.8,12.8,12.2,12.2,12.2,12.8,11.7,11.7,11.7
Jan 16,12.2,11.7,12.2,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.1,11.1,10.6,10.6,10.6
Jan 17,10,10,9.4,10,9.4,10,10,10,10,10.6,11.7,12.2,11.7,11.1,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,12.2
Jan 18,12.2,12.2,12.2,12.8,12.8,13.3,13.9,13.9,13.9,14.4,14.4,15,15,14.4,13.9,13.9,12.2,10,8.9,8.3,8.3,7.8,7.8,7.8
Jan 19,6.1,5,2.8,2.2,1.7,1.1,0.6,1.1,1.7,2.8,3.9,5,6.1,7.2,7.2,7.2,5,3.9,2.2,2.2,1.7,1.7,0.6,-0.6
Jan 20,-1.1,-0.6,-1.1,0,0,0.6,0.6,0.6,2.2,3.3,3.9,3.9,4.4,4.4,4.4,3.9,3.9,3.9,3.3,2.8,2.8,2.2,2.2,1.7
Jan 21,1.7,1.7,1.7,1.7,1.1,1.1,1.1,1.7,2.2,2.8,3.3,3.9,4.4,4.4,4.4,4.4,3.9,3.9,3.9,1.1,1.1,1.7,1.7,1.7
Jan 22,1.7,1.7,0.6,-0.6,-1.1,-1.1,-1.7,0.6,2.2,4.4,5,6.1,5,4.4,5,5,4.4,3.9,2.8,2.8,1.7,0,0,-1.7
