Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,0,0,0,0,0,0,0,46,216,397,529,596,608,542,404,138,34,1,0,0,0,0,0,0
Jan 2,0,0,0,0,0,0,0,58,225,394,527,598,605,541,419,251,71,6,0,0,0,0,0,0
Jan 3,0,0,0,0,0,0,0,20,80,146,232,287,231,142,111,73,24,1,0,0,0,0,0,0
Jan 4,0,0,0,0,0,0,0,43,122,204,277,297,318,368,355,241,72,7,0,0,0,0,0,0
Jan 5,0,0,0,0,0,0,0,49,218,303,520,589,604,540,423,254,75,5,0,0,0,0,0,0
Jan 6,0,0,0,0,0,0,0,49,186,323,341,487,428,436,349,123,56,6,0,0,0,0,0,0
Jan 7,0,0,0,0,0,0,0,22,123,285,267,370,353,359,176,189,56,3,0,0,0,0,0,0
Jan 8,0,0,0,0,0,0,0,49,141,253,483,548,485,468,340,179,65,5,0,0,0,0,0,0
Jan 9,0,0,0,0,0,0,0,24,89,123,270,197,209,190,99,68,23,2,0,0,0,0,0,0
Jan 10,0,0,0,0,0,0,0,28,139,159,233,274,523,474,352,217,59,1,0,0,0,0,0,0
Jan 11,0,0,0,0,0,0,0,57,229,379,536,620,625,571,449,278,92,11,0,0,0,0,0,0
Jan 12,0,0,0,0,0,0,0,57,229,405,543,619,626,567,443,272,80,9,0,0,0,0,0,0
Jan 13,0,0,0,0,0,0,0,29,134,188,266,281,199,249,143,121,37,2,0,0,0,0,0,0
Jan 14,0,0,0,0,0,0,0,17,69,104,146,185,186,157,122,82,51,5,0,0,0,0,0,0
Jan 15,0,0,0,0,0,0,0,36,75,121,169,171,190,266,215,158,56,6,0,0,0,0,0,0
Jan 16,0,0,0,0,0,0,0,42,141,199,281,324,314,308,223,166,65,9,0,0,0,0,0,0
Jan 17,0,0,0,0,0,0,0,32,106,190,256,170,184,160,125,81,31,3,0,0,0,0,0,0
Jan 18,0,0,0,0,0,0,0,23,74,120,169,172,198,171,147,158,35,4,0,0,0,0,0,0
Jan 19,0,0,0,0,0,0,0,47,177,363,522,594,609,559,442,262,95,8,0,0,0,0,0,0
Jan 20,0,0,0,0,0,0,0,27,109,161,228,228,226,203,221,164,70,8,0,0,0,0,0,0
Jan 21,0,0,0,0,0,0,0,26,111,193,264,288,317,266,218,139,56,8,0,0,0,0,0,0
Jan 22,0,0,0,0,0,0,0,50,236,417,530,204,289,281,203,188,95,12,0,0,0,0,0,0
Jan 23,0,0,0,0,0,0,0,61,238,420,563,646,658,605,489,313,121,18,0,0,0,0,0,0
Jan 24,0,0,0,0,0,0,0,16,88,177,202,234,251,262,208,95,65,10,0,0,0,0,0,0
Jan 25,0,0,0,0,0,0,0,38,137,222,275,297,312,321,253,161,79,13,0,0,0,0,0,0
Jan 26,0,0,0,0,0,0,0,62,237,288,268,202,658,603,489,323,132,22,0,0,0,0,0,0
Jan 27,0,0,0,0,0,0,0,62,247,304,563,661,670,617,462,316,123,21,0,0,0,0,0,0
Jan 28,0,0,0,0,0,0,0,30,164,440,577,662,624,619,500,333,136,22,0,0,0,0,0,0
Jan 29,0,0,0,0,0,0,0,22,170,216,369,426,397,277,282,175,96,17,0,0,0,0,0,0
Jan 30,0,0,0,0,0,0,0,61,239,385,571,655,663,616,501,335,143,24,0,0,0,0,0,0
Jan 31,0,0,0,0,0,0,0,60,182,439,498,555,612,539,396,273,125,20,0,0,0,0,0,0
Feb 1,0,0,0,0,0,0,1,36,72,126,181,204,184,175,145,98,43,10,0,0,0,0,0,0
Feb 2,0,0,0,0,0,0,4,74,265,446,561,530,658,522,532,360,162,32,0,0,0,0,0,0
Feb 3,0,0,0,0,0,0,5,78,279,472,620,707,723,669,548,342,161,28,0,0,0,0,0,0
Feb 4,0,0,0,0,0,0,1,41,117,319,328,386,364,335,289,193,79,21,0,0,0,0,0,0
Feb 5,0,0,0,0,0,0,1,43,96,96,132,172,156,169,221,111,61,20,0,0,0,0,0,0
Feb 6,0,0,0,0,0,0,2,43,133,214,302,329,334,300,395,265,116,27,0,0,0,0,0,0
Feb 7,0,0,0,0,0,0,0,25,137,232,182,284,304,320,230,160,75,12,0,0,0,0,0,0
Feb 8,0,0,0,0,0,0,7,53,137,317,555,605,714,668,557,384,184,39,0,0,0,0,0,0
Feb 9,0,0,0,0,0,0,0,71,191,466,506,552,574,319,358,114,77,16,0,0,0,0,0,0
Feb 10,0,0,0,0,0,0,0,49,90,130,291,300,371,348,279,240,67,17,0,0,0,0,0,0
Feb 11,0,0,0,0,0,0,1,49,230,372,592,714,731,682,563,392,187,39,0,0,0,0,0,0
Feb 12,0,0,0,0,0,0,9,92,246,438,601,532,658,563,426,247,136,38,0,0,0,0,0,0
Feb 13,0,0,0,0,0,0,5,60,155,434,490,430,497,363,458,161,164,41,0,0,0,0,0,0
Feb 14,0,0,0,0,0,0,1,45,118,193,248,320,307,288,290,213,105,26,0,0,0,0,0,0
Feb 15,0,0,0,0,0,0,8,40,104,276,311,348,380,370,285,203,129,20,0,0,0,0,0,0
Feb 16,0,0,0,0,0,0,8,76,163,149,339,345,371,347,318,206,113,34,0,0,0,0,0,0
Feb 17,0,0,0,0,0,0,7,65,167,299,325,452,321,299,295,289,76,28,0,0,0,0,0,0
Feb 18,0,0,0,0,0,0,4,66,119,212,282,301,320,360,297,197,104,40,0,0,0,0,0,0
Feb 19,0,0,0,0,0,0,11,78,266,450,655,501,432,589,567,351,213,49,0,0,0,0,0,0
Feb 20,0,0,0,0,0,0,10,84,274,481,671,758,774,728,582,409,203,45,0,0,0,0,0,0
Feb 21,0,0,0,0,0,0,10,94,220,225,306,282,500,371,435,251,144,40,0,0,0,0,0,0
Feb 22,0,0,0,0,0,0,7,84,159,285,598,569,620,439,374,276,112,35,0,0,0,0,0,0
Feb 23,0,0,0,0,0,0,20,137,354,549,699,767,794,751,627,450,239,57,0,0,0,0,0,0
Feb 24,0,0,0,0,0,0,21,144,363,563,711,796,752,706,595,304,179,50,0,0,0,0,0,0
Feb 25,0,0,0,0,0,0,20,87,237,370,521,557,588,419,379,376,213,52,0,0,0,0,0,0
Feb 26,0,0,0,0,0,0,18,140,356,552,705,792,804,751,566,447,233,49,0,0,0,0,0,0
Feb 27,0,0,0,0,0,0,20,97,340,530,713,791,813,751,592,343,236,46,0,0,0,0,0,0
Feb 28,0,0,0,0,0,0,17,50,295,492,341,384,538,621,300,205,128,25,0,0,0,0,0,0
Mar 1,0,0,0,0,0,0,8,47,163,293,297,202,223,313,177,131,79,23,0,0,0,0,0,0
Mar 2,0,0,0,0,0,0,18,52,117,276,198,228,224,388,316,235,146,41,0,0,0,0,0,0
Mar 3,0,0,0,0,0,0,24,154,345,535,664,741,768,758,631,439,238,56,0,0,0,0,0,0
Mar 4,0,0,0,0,0,0,29,171,391,593,738,828,846,789,517,451,234,60,0,0,0,0,0,0
Mar 5,0,0,0,0,0,0,26,167,381,588,742,790,783,747,620,321,202,51,0,0,0,0,0,0
Mar 6,0,0,0,0,0,0,15,70,166,382,327,526,536,507,516,416,214,44,0,0,0,0,0,0
Mar 7,0,0,0,0,0,0,12,96,290,519,442,408,223,406,247,352,59,30,0,0,0,0,0,0
Mar 8,0,0,0,0,0,0,19,89,201,301,372,416,321,329,268,174,83,48,0,0,0,0,0,0
Mar 9,0,0,0,0,0,0,14,108,145,238,384,664,693,629,543,379,226,59,0,0,0,0,0,0
Mar 10,0,0,0,0,0,0,15,153,306,548,762,723,704,681,444,365,232,66,0,0,0,0,0,0
Mar 11,0,0,0,0,0,0,24,92,200,256,409,578,499,437,586,376,172,58,2,0,0,0,0,0
Mar 12,0,0,0,0,0,0,23,101,228,263,394,510,236,272,174,108,125,37,1,0,0,0,0,0
Mar 13,0,0,0,0,0,0,36,101,231,499,686,762,700,717,517,284,228,67,4,0,0,0,0,0
