Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan 1,0,0,0,0,0,0,0,86.2968,428.155,679.304,853.863,940.63,958.744,876.435,694.851,165.752,38.9026,0.936248,0,0,0,0,0,0
Jan 2,0,0,0,0,0,0,0,164.512,442.533,671.273,847.477,939.29,950.626,871.622,717.902,491.374,209.196,2.39655,0,0,0,0,0,0
Jan 3,0,0,0,0,0,0,0,19.48,78.8786,144.462,234.815,295.473,230.823,136.417,104.454,68.4119,22.1849,0.936248,0,0,0,0,0,0
Jan 4,0,0,0,0,0,0,0,49.5143,127.701,210.605,284.792,304.838,328.299,511.244,587.039,463.405,212.987,6.06303,0,0,0,0,0,0
Jan 5,0,0,0,0,0,0,0,131.125,426.004,510.643,832.581,919.285,945.773,863.632,716.813,489.072,212.692,5.58093,0,0,0,0,0,0
Jan 6,0,0,0,0,0,0,0,127.149,326.338,520.236,506.748,732.729,626.756,668.077,553.008,160.784,76.6201,5.25622,0,0,0,0,0,0
Jan 7,0,0,0,0,0,0,0,20.6967,128.785,438.46,303.984,503.998,409.89,485.037,196.15,287.753,117.537,3.54376,0,0,0,0,0,0
Jan 8,0,0,0,0,0,0,0,122.765,177.234,330.472,761.262,851.764,718.802,698.345,514.535,276.61,111.824,4.52533,0,0,0,0,0,0
Jan 9,0,0,0,0,0,0,0,27.6769,102.402,118.023,309.805,236.661,204.322,186.149,91.6261,65.1516,21.2733,1.8725,0,0,0,0,0,0
Jan 10,0,0,0,0,0,0,0,27.112,165.534,175.224,266.27,311.466,768.493,733.504,551.086,371.763,102.251,2.40963,0,0,0,0,0,0
Jan 11,0,0,0,0,0,0,0,157.087,441.911,625.367,848.862,961.577,967.213,903.205,748.499,522.695,245.507,14.6013,0,0,0,0,0,0
Jan 12,0,0,0,0,0,0,0,152.623,436.316,674.074,855.331,954.564,965.324,892.671,732.571,503.97,194.147,10.3336,0,0,0,0,0,0
Jan 13,0,0,0,0,0,0,0,30.7949,162.621,214.115,300.636,316.736,195.003,251.182,138.711,121.885,34.663,1.8725,0,0,0,0,0,0
Jan 14,0,0,0,0,0,0,0,16.065,65.6379,97.6615,138.09,178.28,178.258,149.041,114.022,76.3957,51.4489,4.68124,0,0,0,0,0,0
Jan 15,0,0,0,0,0,0,0,37.7326,71.484,115.552,162.008,163.745,182.485,267.11,217.174,164.423,57.5382,5.61749,0,0,0,0,0,0
Jan 16,0,0,0,0,0,0,0,46.8879,148.668,202.924,287.915,331.871,320.363,317.083,226.141,172.623,67.7921,8.42623,0,0,0,0,0,0
Jan 17,0,0,0,0,0,0,0,30.6464,105.742,191.005,257.941,161.651,175.998,152.919,117.62,75.5404,28.202,2.80874,0,0,0,0,0,0
Jan 18,0,0,0,0,0,0,0,20.9255,69.156,113.253,162.547,163.511,191.341,163.378,141.541,162.851,31.8615,3.74499,0,0,0,0,0,0
Jan 19,0,0,0,0,0,0,0,72.1347,283.871,580.01,805.403,898.318,920.487,859.079,709.353,456.469,157.859,8.76059,0,0,0,0,0,0
Jan 20,0,0,0,0,0,0,0,25.3929,122.132,159.24,272.379,226.077,245.155,197.625,224.069,170.286,73.8858,7.48998,0,0,0,0,0,0
Jan 21,0,0,0,0,0,0,0,24.1454,111.838,192.716,265.536,288.649,322.036,266.133,218.355,138.981,55.5812,7.48998,0,0,0,0,0,0
Jan 22,0,0,0,0,0,0,0,102.298,429.904,671.992,813.235,197.499,290.102,287.232,203.082,277.274,131.647,16.0836,0,0,0,0,0,0
Jan 23,0,0,0,0,0,0,0,148.62,427.378,672.992,855.959,963.562,981.677,917.225,772.821,542.45,268.641,25.0173,0,0,0,0,0,0
Jan 24,0,0,0,0,0,0,0,14.2147,85.2696,174.974,198.74,229.256,248.244,262.283,207.579,89.9948,65.4832,9.36248,0,0,0,0,0,0
Jan 25,0,0,0,0,0,0,0,39.2521,141.354,225.015,277.811,298.109,313.702,327.379,257.101,162.437,82.3482,12.1712,0,0,0,0,0,0
Jan 26,0,0,0,0,0,0,0,154.807,420.838,388.343,271.587,195.145,973.726,906.307,764.954,551.455,284.841,41.4275,0,0,0,0,0,0
Jan 27,0,0,0,0,0,0,0,148.3,435.326,421.363,835.654,973.751,985.405,918.767,719.97,532.854,252.514,37.6075,0,0,0,0,0,0
Jan 28,0,0,0,0,0,0,0,28.9863,233.381,689.134,864.25,972.247,910.337,916.269,773.967,559.876,285.06,38.3144,0,0,0,0,0,0
Jan 29,0,0,0,0,0,0,0,20.2962,259.251,269.25,459.499,581.395,519.057,278.208,344.026,237.262,148.937,17.2193,0,0,0,0,0,0
Jan 30,0,0,0,0,0,0,0,143.612,412.024,579.599,848.52,954.605,965.643,910.459,767.06,553.932,291.873,47.0692,0,0,0,0,0,0
Jan 31,0,0,0,0,0,0,0,115.945,287.784,664.978,718.415,787.771,867.104,784.993,563.75,420.654,221.931,20.929,0,0,0,0,0,0
Feb 1,0,0,0,0,0,0,0.936248,34.9,66.6221,118.232,172.5,195.933,174.417,166.785,136.888,92.2159,39.566,9.0734,0,0,0,0,0,0
Feb 2,0,0,0,0,0,0,2.83171,174.906,450.198,684.645,825.267,760.853,943.958,759.432,807.02,588.975,321.6,63.4316,0,0,0,0,0,0
Feb 3,0,0,0,0,0,0,2.64347,180.772,468.771,719.997,907.818,1017.56,1038.94,975.327,825.564,553.628,313.259,53.1956,0,0,0,0,0,0
Feb 4,0,0,0,0,0,0,0.33827,51.0743,126.968,413.719,398.591,462.8,434.303,393.934,344.891,217.737,101.519,19.9699,0,0,0,0,0,0
Feb 5,0,0,0,0,0,0,1.1038,47.0142,91.5346,89.2677,125.479,163.486,146.908,162.521,216.963,105.111,58.173,18.7044,0,0,0,0,0,0
Feb 6,0,0,0,0,0,0,1.8725,42.0102,131.717,211.254,301.724,327.851,333.879,324.678,545.75,390.393,166.514,33.3228,0,0,0,0,0,0
Feb 7,0,0,0,0,0,0,0,22.7295,153.706,231.237,173.964,279.673,302.207,320.829,225.605,156.757,72.1727,10.8923,0,0,0,0,0,0
Feb 8,0,0,0,0,0,0,6.83928,61.2018,161.866,389.315,791.692,848.387,1007.13,955.361,819.821,603.466,339.177,75.2057,0,0,0,0,0,0
Feb 9,0,0,0,0,0,0,0,110.518,240.995,680.974,684.738,732.18,737.483,370.737,426.103,108.467,74.6738,14.5419,0,0,0,0,0,0
Feb 10,0,0,0,0,0,0,0,47.6213,85.2934,120.757,289.395,294.612,372.213,350.161,278.762,265.868,64.2519,15.6848,0,0,0,0,0,0
Feb 11,0,0,0,0,0,0,0.936248,48.1894,301.713,504.005,837.659,994.608,1016.68,958.781,812.006,596.552,329.373,70.4591,0,0,0,0,0,0
Feb 12,0,0,0,0,0,0,10.0182,162.543,345.068,627.802,840.874,704.403,895.625,719.508,577.788,321.955,205.388,57.1033,0,0,0,0,0,0
Feb 13,0,0,0,0,0,0,4.21065,73.5061,168.675,594.349,659.172,506.997,623.715,448.789,610.264,192.674,254.698,59.7941,0,0,0,0,0,0
Feb 14,0,0,0,0,0,0,0.936248,47.4596,112.61,186.736,241.36,315.748,301.681,281.572,287.915,212.275,103.719,24.8387,0,0,0,0,0,0
Feb 15,0,0,0,0,0,0,7.48998,37.2543,98.4158,276.229,308.249,344.636,380.436,370.824,282.186,200.121,131.727,18.4157,0,0,0,0,0,0
Feb 16,0,0,0,0,0,0,7.48998,77.6414,160.174,140.985,337.751,340.901,368.853,345.812,318.759,204.119,112.457,34.5942,0,0,0,0,0,0
Feb 17,0,0,0,0,0,0,6.55374,63.9831,165.277,342.249,396.706,498.735,338.181,299.185,322.572,338.939,72.5087,27.5331,0,0,0,0,0,0
Feb 18,0,0,0,0,0,0,3.74499,64.8047,113.998,205.776,274.825,293.865,312.77,359.106,293.963,192.761,101.604,57.7094,0,0,0,0,0,0
Feb 19,0,0,0,0,0,0,11.3548,107.502,364.544,620.649,892.961,671.385,537.113,789.316,780.857,494.701,341.643,88.3329,0,0,0,0,0,0
Feb 20,0,0,0,0,0,0,9.9425,123.501,389.295,669.355,910.246,1019.34,1039.51,984.799,803.537,591.188,318.48,82.6408,0,0,0,0,0,0
Feb 21,0,0,0,0,0,0,9.43139,115.87,255.653,218.603,300.222,273.608,604.769,425.005,566.372,319.501,187.907,54.8913,0,0,0,0,0,0
Feb 22,0,0,0,0,0,0,6.55374,90.6656,167.682,325.167,788.141,731.34,802.97,532.17,484.003,345.519,131.495,41.659,0,0,0,0,0,0
Feb 23,0,0,0,0,0,0,21.8028,227.319,509.396,750.955,936.416,1018.44,1053.64,1004.49,853.155,637.226,370.607,99.3952,0,0,0,0,0,0
Feb 24,0,0,0,0,0,0,26.8109,235.098,518.112,765.582,948.113,1052.37,995.11,940.811,801.929,383.565,252.795,63.2847,0,0,0,0,0,0
Feb 25,0,0,0,0,0,0,20.3584,114.504,293.17,427.229,662.605,674.829,745.391,455.998,437.827,499.735,309.776,78.6812,0,0,0,0,0,0
Feb 26,0,0,0,0,0,0,22.3385,217.387,499.33,738.504,926.517,1033.41,1048.38,985.677,756.439,613.879,341.404,76.4094,0,0,0,0,0,0
