Month,Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,194.72191253299755,190.7009921451456,1.5834109875432787,2.437509400319854
 01/01  02:00:00,206.9797129871607,200.52684439502966,1.5834109875432787,4.869457604520687
 01/01  03:00:00,210.18769726725648,203.7351600239474,1.5834109875432787,4.869126255810551
 01/01  04:00:00,212.23134111611546,208.2101605305888,1.5834109875432787,2.437769597838035
 01/01  05:00:00,218.98515210095204,212.53268992296418,1.5834109875432787,4.869051190517239
 01/01  06:00:00,207.51544063565413,198.68735605655277,3.9585274688581964,4.869557110382898
 01/01  07:00:00,179.2938501244844,168.93965422666864,7.917054937716393,2.4371409602726977
 01/01  08:00:00,180.05592699029955,163.31087220105195,11.875582406574589,4.869472382700955
 01/01  09:00:00,162.8053707601227,142.07977282875206,15.834109875432786,4.891488055770179
 01/01  10:00:00,150.93120756384184,131.68612341993645,11.875582406574589,7.369501737246944
 01/01  11:00:00,154.8553556065731,127.66050586140226,19.79263734429098,7.402212400907817
 01/01  12:00:00,154.17727283694117,124.51496736482218,19.79263734429098,9.869668127688248
 01/01  13:00:00,149.20848085335274,122.01232511353417,19.79263734429098,7.403518395667345
 01/01  14:00:00,141.96022386636736,118.72405943768297,15.834109875432786,7.402054553195715
 01/01  15:00:00,136.78249643802386,115.03749841695867,11.875582406574589,9.869415614406757
 01/01  16:00:00,142.6020650660771,119.36463145856641,15.834109875432786,7.403323732133811
 01/01  17:00:00,154.3842269853897,123.23115617333988,23.751164813149177,7.401905998872663
 01/01  18:00:00,161.75685561812972,130.63732955789294,23.751164813149177,7.368361247003724
 01/01  19:00:00,170.8375822084511,142.21694872112923,23.751164813149177,4.869468674200655
 01/01  20:00:00,165.89713302261632,145.19388347081264,15.834109875432786,4.869139676259081
 01/01  21:00:00,175.5353059450712,157.2634186063092,15.834109875432786,2.437777463407509
 01/01  22:00:00,178.39610917918446,161.6514615076419,11.875582406574589,4.869065265023887
 01/01  23:00:00,186.0519030970349,173.26527590038611,7.917054937716393,4.8695722588485575
 01/01  24:00:00,186.22497640412203,179.82930110407415,3.9585274688581964,2.4371478312959165
 01/02  01:00:00,192.9086479571815,186.45569677438507,1.5834109875432787,4.869540195102183
 01/02  02:00:00,199.8665030732825,193.41382875198175,1.5834109875432787,4.869263333578558
 01/02  03:00:00,203.04456005532126,196.5922024441726,1.5834109875432787,4.868946623482374
 01/02  04:00:00,194.94656649703197,190.92548873858735,1.5834109875432787,2.4376667708789634
 01/02  05:00:00,189.9596688754666,183.50691638752627,1.5834109875432787,4.8693415003020295
 01/02  06:00:00,344.1226994810411,335.2947843706089,3.9585274688581964,4.86938764378215
 01/02  07:00:00,239.00959968781729,228.65564872287268,7.917054937716393,2.4368960271834865
 01/02  08:00:00,213.99073426316477,194.74195156414163,11.875582406574589,7.373200292420587
 01/02  09:00:00,193.03891100200775,167.32361864021016,15.834109875432786,9.881182486308916
 01/02  10:00:00,178.9339070889142,157.13924025193293,11.875582406574589,9.919084430238994
 01/02  11:00:00,177.6496834670945,147.87517003649722,19.79263734429098,9.98187608613855
 01/02  12:00:00,171.66827546970484,139.37061024936506,19.79263734429098,12.505027876104704
 01/02  13:00:00,161.9980332394667,132.25668571990093,19.79263734429098,9.948710175051172
 01/02  14:00:00,154.3694357147351,126.03194799364492,15.834109875432786,12.503377845685336
 01/02  15:00:00,142.77326649735093,118.41782075968732,11.875582406574589,12.479863331005177
 01/02  16:00:00,139.15305402708057,113.35735546794879,15.834109875432786,9.96158868383878
 01/02  17:00:00,148.24287953240741,114.58481595068052,23.751164813149177,9.906898768717472
 01/02  18:00:00,150.9303423125136,122.27756469471402,23.751164813149177,4.901612804426791
 01/02  19:00:00,143.33827252706826,114.70251263020445,23.751164813149177,4.884595083686678
 01/02  20:00:00,139.65875035910383,117.75122592843462,15.834109875432786,6.073414555348228
 01/02  21:00:00,155.62188751941514,133.65517682240414,15.834109875432786,6.132600821690001
 01/02  22:00:00,153.62505782844968,139.31088724502592,11.875582406574589,2.438588176974965
 01/02  23:00:00,159.45556966808996,146.6694101186624,7.917054937716393,4.869104611767076
 01/02  24:00:00,155.684330184282,146.8561800095722,3.9585274688581964,4.869622705991397
 01/03  01:00:00,149.1696125067585,145.148992571386,1.5834109875432787,2.4372089479494248
 01/03  02:00:00,150.34052913611137,143.8874662323395,1.5834109875432787,4.869651916329222
 01/03  03:00:00,149.4749335045141,143.02216400334785,1.5834109875432787,4.869358513835417
 01/03  04:00:00,151.11793420009573,144.66547765032283,1.5834109875432787,4.869045562414086
 01/03  05:00:00,142.3477452732149,138.32661363932198,1.5834109875432787,2.437720646402756
 01/03  06:00:00,252.21645920498074,243.38837676367865,3.9585274688581964,4.8695549723879745
 01/03  07:00:00,175.10348680737127,162.3169187747641,7.917054937716393,4.869513094862792
 01/03  08:00:00,167.8688450864953,148.61986163224498,11.875582406574589,7.373401047731622
 01/03  09:00:00,166.0611887282184,142.81297064155407,15.834109875432786,7.41410821111975
 01/03  10:00:00,160.68666776943633,138.88902476396885,11.875582406574589,9.922060598864931
 01/03  11:00:00,164.9274820197339,132.65360574455005,19.79263734429098,12.48123893111648
 01/03  12:00:00,157.8006412632735,128.00450226154246,19.79263734429098,10.003501657216429
 01/03  13:00:00,157.2757991977506,125.04854501171975,19.79263734429098,12.434616841795757
 01/03  14:00:00,150.67883015112173,123.96023460518457,15.834109875432786,10.884485670448472
 01/03  15:00:00,146.71957808219352,123.2447460413431,11.875582406574589,11.599249634136065
 01/03  16:00:00,151.00742105241838,123.286586374186,15.834109875432786,11.886724802799577
 01/03  17:00:00,154.9206997712494,123.16982703326329,23.751164813149177,7.999707924725115
 01/03  18:00:00,154.4463979429032,123.34603679905703,23.751164813149177,7.349196330808818
 01/03  19:00:00,146.40959501889049,117.77434234676609,23.751164813149177,4.884087858779549
 01/03  20:00:00,139.7245917295422,119.0062146811279,15.834109875432786,4.884267172953552
 01/03  21:00:00,150.88002543985968,130.161396194585,15.834109875432786,4.884519369925729
 01/03  22:00:00,148.36253298476217,131.61570587635302,11.875582406574589,4.871244701666866
 01/03  23:00:00,146.91396624912608,136.5597202813012,7.917054937716393,2.4371910301112987
 01/03  24:00:00,147.05495500962218,138.22684745868264,3.9585274688581964,4.869580082025427
 01/04  01:00:00,146.15040168439165,139.69719587567164,1.5834109875432787,4.869794821249394
