Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,674.694047858,96.1775156129,250.423656813,0.0,34.9616554283,113.312780494,696.619751501,682.234865255,5.66466996096,8.72021628508
 01/01  02:00:00,662.433293015,96.1775156129,233.288363592,0.0,34.9616554283,113.312780494,740.472165414,717.386958122,5.66466996096,17.4205373308
 01/01  03:00:00,656.697249789,96.1775156129,226.791709896,0.0,34.9616554283,113.312780494,751.948763928,728.86474204,5.66466996096,17.4193519272
 01/01  04:00:00,654.257240321,96.1775156129,220.813450537,0.0,34.9616554283,113.312780494,759.259921936,744.87410483,5.66466996096,8.72114714452
 01/01  05:00:00,653.578712064,96.1775156129,210.505771462,0.0,44.4937663224,113.312780494,783.421753898,760.338000557,5.66466996096,17.4190833803
 01/01  06:00:00,661.01314859,96.1775156129,226.886146132,0.0,44.4937663224,113.312780494,742.38873688,710.806168664,14.1616749024,17.4208933141
 01/01  07:00:00,747.513735773,96.1775156129,249.518456305,0.0,54.0258772165,176.889270242,641.425691103,604.383443112,28.3233498048,8.71889818682
 01/01  08:00:00,745.522503516,96.1775156129,256.422437067,0.0,54.0258772165,184.38654557,644.152029346,584.246414439,42.4850247072,17.4205901999
 01/01  09:00:00,850.558529067,96.1775156129,285.396370679,0.0,65.1572554096,220.04316451,582.437977558,508.291926439,56.6466996096,17.4993515088
 01/01  10:00:00,954.015536459,96.1775156129,392.833854339,0.0,65.1572554096,212.545889182,539.958030091,471.108533085,42.4850247072,26.3644722985
 01/01  11:00:00,1081.69800676,96.1775156129,516.345688187,0.0,65.1572554096,220.04316451,553.996712224,456.70684266,70.808374512,26.4814950521
 01/01  12:00:00,1102.66279224,96.1775156129,538.08503392,0.0,65.1572554096,220.04316451,551.57086377,445.453644613,70.808374512,35.3088446445
 01/01  13:00:00,1113.16711236,96.1775156129,549.788015687,0.0,65.1572554096,220.04316451,533.794956622,436.500414848,70.808374512,26.4861672625
 01/01  14:00:00,1111.92541169,96.1775156129,556.583508435,0.0,65.1572554096,212.545889182,507.864238731,424.736608771,56.6466996096,26.4809303502
 01/01  15:00:00,1114.09943153,96.1775156129,561.957970724,0.0,65.1572554096,212.545889182,489.340862766,411.547896783,42.4850247072,35.3079412755
 01/01  16:00:00,1114.5591942,96.1775156129,563.908708599,0.0,65.1572554096,212.545889182,510.160432576,427.028262115,56.6466996096,26.4854708516
 01/01  17:00:00,1088.03108485,96.1775156129,561.952527664,0.0,65.1572554096,220.04316451,552.311244478,440.860796168,84.9700494144,26.4803988955
 01/01  18:00:00,1050.527079,96.1775156129,558.612970197,0.0,54.0258772165,184.38654557,578.686903279,467.356461682,84.9700494144,26.3603921823
 01/01  19:00:00,1024.45554333,96.1775156129,553.596854233,0.0,44.4937663224,163.454314868,611.173301027,508.78267468,84.9700494144,17.4205769327
 01/01  20:00:00,1015.4217619,96.1775156129,544.277273887,0.0,44.4937663224,155.95703954,593.498790545,519.432690996,56.6466996096,17.419399939
 01/01  21:00:00,944.034476697,96.1775156129,499.550674128,0.0,44.4937663224,124.558693486,627.979458585,562.611583692,56.6466996096,8.72117528368
 01/01  22:00:00,823.203518432,96.1775156129,377.423084707,0.0,44.4937663224,124.558693486,638.214013146,578.309854707,42.4850247072,17.419133732
 01/01  23:00:00,741.985179569,96.1775156129,307.200153437,0.0,34.9616554283,124.558693486,665.602698822,619.858401509,28.3233498048,17.4209475079
 01/01  24:00:00,705.91433784,96.1775156129,273.572256236,0.0,34.9616554283,124.558693486,666.221870453,643.341272783,14.1616749024,8.71892276798
 01/02  01:00:00,689.19109737,96.1775156129,255.456528255,0.0,46.0930336215,113.312780494,690.132777838,667.047275077,5.66466996096,17.4208327995
 01/02  02:00:00,680.692633471,96.1775156129,243.315643082,0.0,46.0930336215,113.312780494,715.02457989,691.940067604,5.66466996096,17.4198423244
 01/02  03:00:00,676.088055323,96.1775156129,238.128336761,0.0,46.0930336215,113.312780494,726.394113171,703.310733919,5.66466996096,17.4187092906
 01/02  04:00:00,682.870288429,96.1775156129,248.328777501,0.0,46.0930336215,113.312780494,697.423453491,683.03800425,5.66466996096,8.72077927996
 01/02  05:00:00,770.247645592,96.1775156129,246.12680072,0.0,100.150657288,148.969399434,679.582773227,656.497981299,5.66466996096,17.4201219667
 01/02  06:00:00,791.602740259,96.1775156129,258.102741997,0.0,100.150657288,149.894399434,1231.10268526,1199.52072332,14.1616749024,17.4202870455
 01/02  07:00:00,985.655941662,96.1775156129,221.211885597,0.0,176.471037341,302.612436532,855.059432064,818.018060323,28.3233498048,8.71802193604
 01/02  08:00:00,1087.13812507,96.1775156129,221.118019392,0.0,243.2593065,310.10971186,765.554169979,696.691441352,42.4850247072,26.3777039197
 01/02  09:00:00,1185.96423162,96.1775156129,288.976470286,0.0,243.2593065,310.10971186,690.598795292,598.602058295,56.6466996096,35.3500373872
 01/02  10:00:00,1377.43692413,96.1775156129,437.272419003,0.0,243.2593065,302.612436532,640.137990994,562.167334284,42.4850247072,35.4856320022
 01/02  11:00:00,1467.77955264,96.1775156129,511.029201362,0.0,243.2593065,310.10971186,635.543667075,529.025022731,70.808374512,35.7102698314
 01/02  12:00:00,1490.15251503,96.2088879361,523.823202065,0.0,243.2593065,310.10971186,614.145115168,498.599867963,70.808374512,44.7368726932
 01/02  13:00:00,1459.71938188,96.259666155,529.881959925,0.0,243.2593065,310.10971186,579.549718832,473.149725894,70.808374512,35.5916184252
 01/02  14:00:00,1499.30014083,96.3819239674,535.549020598,0.0,243.2593065,302.612436532,552.258328547,450.880659246,56.6466996096,44.7309696915
 01/02  15:00:00,1503.80355788,96.502955165,540.556889456,0.0,243.2593065,302.612436532,510.772907551,423.641036583,42.4850247072,44.6468462605
 01/02  16:00:00,1506.87908021,96.6005044701,541.406126893,0.0,243.2593065,302.612436532,497.821558221,405.537167182,56.6466996096,35.6376914299
 01/02  17:00:00,1506.23908015,96.6425883064,537.777521222,0.0,243.2593065,310.10971186,530.340507436,409.928420356,84.9700494144,35.4420376661
 01/02  18:00:00,1505.4817091,96.6700306865,528.031147166,0.0,243.2593065,310.10971186,539.954934645,437.449312323,84.9700494144,17.5355729068
 01/02  19:00:00,1192.98090676,96.1775156129,479.292316281,0.0,166.938926447,199.110933808,512.794222743,410.349481502,84.9700494144,17.4746918265
 01/02  20:00:00,1077.38392751,96.1775156129,376.216634303,0.0,166.938926447,191.61365848,499.630692327,421.256286353,56.6466996096,21.7277063648
 01/02  21:00:00,869.903838088,96.1775156129,310.927600408,0.0,100.150657288,124.558693486,556.738988446,478.152842963,56.6466996096,21.9394458738
 01/02  22:00:00,805.912825278,96.1775156129,283.462266998,0.0,100.150657288,124.558693486,549.595308595,498.386208268,42.4850247072,8.72407562025
 01/02  23:00:00,728.44197549,96.1775156129,271.610806495,0.0,46.0930336215,124.558693486,570.454027863,524.711403563,28.3233498048,17.4192744954
 01/02  24:00:00,731.444131357,96.1775156129,274.462055282,0.0,46.0930336215,124.558693486,556.962377756,525.379574871,14.1616749024,17.4211279831
 01/03  01:00:00,726.784424341,96.1775156129,287.735905813,0.0,46.0930336215,113.312780494,533.655904691,519.272093317,5.66466996096,8.71914141347
 01/03  02:00:00,737.916883283,96.1775156129,304.653907082,0.0,46.0930336215,113.312780494,537.844871617,514.758969173,5.66466996096,17.4212324834
 01/03  03:00:00,779.380674166,96.1775156129,341.217573288,0.0,46.0930336215,113.312780494,534.748193868,511.663341075,5.66466996096,17.4201828328
 01/03  04:00:00,885.531985697,96.1775156129,427.453074994,0.0,46.0930336215,113.312780494,540.626046655,517.542313449,5.66466996096,17.4190632457
 01/03  05:00:00,1057.55858765,96.1775156129,498.255318758,0.0,100.150657288,148.969399434,509.250600762,494.864958781,5.66466996096,8.72097202023
 01/03  06:00:00,1069.43454657,96.1775156129,505.367711901,0.0,100.150657288,149.894399434,902.307115056,870.724554488,14.1616749024,17.4208856654
 01/03  07:00:00,1296.23046264,96.3489614803,507.20772578,0.0,176.471037341,302.612436532,626.434620942,580.690535289,28.3233498048,17.4207358481
 01/03  08:00:00,1406.9083026,96.6417319624,509.688372406,0.0,243.2593065,310.10971186,600.552611813,531.689164982,42.4850247072,26.378422124
 01/03  09:00:00,1452.53900535,96.7673941207,512.661816079,0.0,243.2593065,310.10971186,594.085701609,510.914949557,56.6466996096,26.524052442
 01/03  10:00:00,1485.80219275,96.8637607003,517.191089802,0.0,243.2593065,302.612436532,574.858294657,496.876990672,42.4850247072,35.4962792777
 01/03  11:00:00,1499.27295624,96.9468036311,525.136627148,0.0,243.2593065,310.10971186,590.029853578,474.569711582,70.808374512,44.6517674848
 01/03  12:00:00,1504.36938608,97.0538826273,530.619031206,0.0,243.2593065,310.10971186,564.533503567,457.937493508,70.808374512,35.7876355462
 01/03  13:00:00,1464.90899001,97.3265632986,536.601808555,0.0,243.2593065,310.10971186,562.655875392,447.362524425,70.808374512,44.4849764552
 01/03  14:00:00,1496.73839112,97.7010265481,543.335415766,0.0,243.2593065,302.612436532,539.055147163,443.469082156,56.6466996096,38.9393653972
 01/03  15:00:00,1493.02577268,98.1154966209,547.105471026,0.0,243.2593065,302.612436532,524.890879996,440.909414068,42.4850247072,41.4964412203
 01/03  16:00:00,1458.92435131,98.4902686638,548.892776774,0.0,243.2593065,302.612436532,540.230684672,441.059098312,56.6466996096,42.5248867504
 01/03  17:00:00,1455.41547619,98.8312642166,550.554548051,0.0,243.2593065,310.10971186,554.230481681,440.641390505,84.9700494144,28.6190417612
 01/03  18:00:00,1472.10979998,99.167256162,550.26783655,0.0,243.2593065,310.10971186,552.533661752,441.271782851,84.9700494144,26.291829487
 01/03  19:00:00,1205.69678204,96.1775156129,548.727142994,0.0,166.938926447,199.110933808,523.781912229,421.33898559,84.9700494144,17.4728772239
 01/03  20:00:00,1197.50746593,96.1775156129,545.786656484,0.0,166.938926447,191.61365848,499.866240543,425.746022211,56.6466996096,17.4735187223
 01/03  21:00:00,1063.21784221,96.1775156129,545.291269044,0.0,100.150657288,124.558693486,539.774925488,465.653804919,56.6466996096,17.4744209597
 01/03  22:00:00,1022.58938402,96.1775156129,547.023089599,0.0,100.150657288,124.558693486,530.768568958,470.85661356,42.4850247072,17.4269306902
 01/03  23:00:00,957.821591713,96.1775156129,548.896221332,0.0,46.0930336215,124.558693486,525.586305769,488.543878652,28.3233498048,8.71907731221
 01/03  24:00:00,959.33226287,96.1775156129,549.628097064,0.0,46.0930336215,124.558693486,526.090694587,494.508044189,14.1616749024,17.4209754954
 01/04  01:00:00,949.517022004,96.1775156129,549.205370683,0.0,46.0930336215,113.312780494,522.854645267,499.768231579,5.66466996096,17.4217437273
 01/04  02:00:00,950.76319068,96.1775156129,547.880811298,0.0,46.0930336215,113.312780494,526.674074864,503.590266829,5.66466996096,17.4191380745
 01/04  03:00:00,949.090784338,96.1775156129,546.640462707,0.0,46.0930336215,113.312780494,523.216345064,508.830653207,5.66466996096,8.72102189618
 01/04  04:00:00,947.228745209,96.1775156129,544.97963872,0.0,46.0930336215,113.312780494,536.950140964,513.866420212,5.66466996096,17.4190507917
 01/04  05:00:00,1033.70765029,96.1775156129,542.601831039,0.0,100.150657288,148.969399434,518.90536296,495.81978004,5.66466996096,17.4209129593
 01/04  06:00:00,1034.57416915,96.3007811201,540.966500097,0.0,100.150657288,149.894399434,833.558546512,810.678482116,14.1616749024,8.71838949286
 01/04  07:00:00,1263.44890851,96.9790199612,539.189740659,0.0,176.471037341,302.612436532,615.244855422,569.500574266,28.3233498048,17.420931352
 01/04  08:00:00,1370.60640324,97.4851284185,536.412296027,0.0,243.2593065,310.10971186,592.455158529,523.592356644,42.4850247072,26.3777771777
 01/04  09:00:00,1411.30594041,98.0549151636,535.946387155,0.0,243.2593065,310.10971186,585.37242422,502.209985184,56.6466996096,26.5157394262
 01/04  10:00:00,1443.45058034,98.5269489745,538.397264763,0.0,243.2593065,302.612436532,566.651088383,488.655417248,42.4850247072,35.5106464283
