Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01,448.78058666937994,518.37248325857,453.11014886056006,432.14757872643,482.78908801840004,496.63013910613006,450.39002501842,661.0878356292501,871.6394545353999,993.6177049146002,1211.0151756488,1196.1990626848005,1114.8609718748,1229.9889588699,1163.1113438728003,1149.9737813182003,1013.8586840851999,695.7970529530002,537.8885902294099,517.4680883686599,533.6990880488199,488.0387854857,461.8145063720199,461.81657075191987
02,435.68153726242997,409.56875068468,413.26946658783,449.37498806095005,418.53814275850004,409.30357659782993,418.2865742813799,640.7408394262,755.7141438674998,915.4860362497002,1069.0551457603,1124.5903697475999,994.8188073715002,1120.3592623148,1054.4032204551002,1029.1241114995,942.7212032007,640.7912256247,436.69561834115,497.67317403267003,515.0954243617,409.67264130324,418.27283319222994,444.37706362757996
03,454.0939271118,443.04396347941,461.5979133437901,429.6134864309001,467.52372625634996,453.4013060307799,590.4733958828,813.9105659912899,928.4083857078999,1087.44344053,1197.5311533913,1117.2322412263,1163.749034775,1205.9432493494,1121.5540484762998,1050.6329498640998,784.9097201979998,585.255689244,514.5315538813699,520.23440977445,491.60378603096,444.72140255321995,461.1446817255901,452.91995717220004
04,439.52415918838,382.18074736662993,405.30530569908007,409.01046221795013,409.09680489658007,426.30146053788997,586.82717333662,740.1084802107,832.2846744700003,1048.832882277,1063.7350811867,953.3675428067997,1085.287629054,1028.2896606375998,971.0703320650001,859.8676488900998,639.2972338049999,461.9779633758799,435.96081132723003,493.83975591967993,403.33956682840005,401.25172416308004,425.45411169749,382.9330079396
05,339.12829731944,408.54323424418993,386.64677158057003,352.33320235858,408.55202795159,358.1481749747801,575.5009039342101,711.2361430679098,822.7379060507,987.5660735427002,1008.8679426533998,875.5392791957,1010.1889736442998,991.1807191488002,954.6015927796002,817.9624014064,560.5160894750999,452.7963498194799,452.74797211849994,403.56480562129997,414.35970293498,365.15354426652004,398.93098721181,392.12139161694
06,377.59191031708,332.04177065221995,281.52129620249,372.46134007416,338.7372592001,321.40072670724004,505.5821411492301,640.67881883354,744.8293584353,841.4278290573999,883.1390512512002,792.5600904762,910.2510911682,882.6202466448,793.3707692359,761.8539466906001,504.63796431906997,355.33995458026,405.60581093292006,374.0204831888299,347.4540454715,339.48158395123005,329.33532108992995,321.3967448642
07,363.26201908547,300.25717339184,333.47910849844993,312.54723337716007,347.20094640282997,329.87405482148006,467.56994846051003,563.2149610142201,708.0594767426002,787.6899739402,877.6047379165,758.4144079072,811.0350878975003,845.2006949879001,754.4033048800001,694.4811888760001,476.9552664326301,420.63178437179994,347.67022716696,382.43540035928004,303.9221726093199,329.87152522421,329.86926790372996,313.8156373771601
08,295.18258003208,318.57977552962,332.4374619774301,338.50930414610997,322.8879577356999,296.35404351968,491.82894209497994,632.65319613267,693.2762441839,819.3980074300999,859.1513510224001,779.7111176674,863.5761633869001,801.6182482776,835.8612444256,666.8522145648001,509.11183772888006,335.61997269618,425.82161601844007,356.37575838642994,312.57520108409,338.50552310919994,338.5092906563801,321.1874941773
09,338.6654536281,303.99242064299,347.33066079983,338.66214493713994,303.99804242139993,338.6747038853399,471.54011765700994,608.72603822841,715.3236513147999,802.5512823265998,900.3651631026003,755.7499876962,829.7014394265001,856.5187226853001,792.2330613657999,707.0395749347998,484.78982655070996,405.58025300825,350.95503088151,399.98007861593,321.37984317714,321.3260197444299,347.33229094076995,321.33308030330994
10,347.6939124703501,399.75551496618004,365.0620355723201,382.40467225437,382.28037105161997,339.15703069031,559.6436905572801,675.412806617,844.7349888906001,893.1809283826,995.7718536038999,868.9184003886,986.5436654061999,933.2086869867001,887.2008700752,792.9515121298998,580.5168013609999,443.9364461462201,417.8599330150001,417.79170643339006,399.8476000886,365.04571217818,356.36420039058993,391.09464103537005
11,421.1184159798899,365.46213936097,434.95575342841994,375.63859825507,416.08559793313,374.79572788222,443.57185174228994,615.7944277657502,727.9738523740999,906.5053755332998,1019.7320631653002,1004.9558996106001,966.8934233365003,1039.1094311507,1000.1784553128002,984.5977555074999,801.7904014741999,596.5292453669899,478.5644651416299,409.4182091884499,470.50509717396994,400.2830462787501,397.08711593389,391.09595839621005
12,461.5195954314901,461.52037359791,426.7279310627301,435.30551402150996,461.64209075092003,441.07313963789994,447.2038586704001,682.56887315145,758.7017855769999,963.9011023923,1084.3880022401001,1157.5207720695998,1063.9956295850998,1148.9040565838998,1125.5780038695004,1059.5946678276,983.9846428108001,637.7509360647001,514.7361555843,532.0629728197999,488.6053416927901,470.31684625752,460.97134045372013,409.88859223792
